sweep_type,input_tokens_requested,output_tokens_requested,input_tokens_actual,output_tokens_actual,prefill_tokens_per_sec,decode_tokens_per_sec,cpu_freq_khz,timestamp,run,energy_joules,wall_seconds
input_sweep,128,64,104,69,115.4,26.8,400000,2026-09-04T05:56:35+08:00,1,152.0562,7.048168113
input_sweep,128,64,104,69,115.6,28.6,1356693,2026-09-04T05:56:50+08:00,2,150.8309,7.049627452
input_sweep,128,64,104,69,120.9,25.7,3213147,2026-09-04T05:57:05+08:00,3,153.7281,7.050110735
input_sweep,256,64,211,69,118.0,23.9,400000,2026-09-04T05:57:21+08:00,1,183.8467,8.057434484
input_sweep,256,64,211,68,118.6,23.7,3458390,2026-09-04T05:57:37+08:00,2,184.2282,8.058217193
input_sweep,256,64,211,68,117.2,24.3,400000,2026-09-04T05:57:54+08:00,3,182.6025,8.057914499
input_sweep,512,64,422,68,116.7,24.4,560811,2026-09-04T05:58:10+08:00,1,238.9317,10.071092062
input_sweep,512,64,422,69,119.2,24.5,400000,2026-09-04T05:58:28+08:00,2,236.2654,10.072204641
input_sweep,512,64,422,68,116.8,23.1,3516452,2026-09-04T05:58:47+08:00,3,243.8039,10.071940732
input_sweep,1024,64,846,68,116.0,21.9,400000,2026-09-04T05:59:05+08:00,1,354.3238,14.097258077
input_sweep,1024,64,846,69,114.2,19.0,400000,2026-09-04T05:59:28+08:00,2,324.2488,14.105801432
input_sweep,1024,64,846,69,97.8,18.3,400000,2026-09-04T05:59:50+08:00,3,302.1225,16.143497997
input_sweep,2048,64,1693,68,86.9,15.5,830203,2026-09-04T06:00:15+08:00,1,470.9298,27.248579079
input_sweep,2048,64,1693,69,85.0,15.3,915099,2026-09-04T06:00:50+08:00,2,478.0927,28.259691320
input_sweep,2048,64,1693,68,87.5,15.0,1540665,2026-09-04T06:01:27+08:00,3,475.2503,27.250569684
output_sweep,512,8,422,13,116.6,24.8,960431,2026-09-04T06:02:03+08:00,1,184.6772,8.056176139
output_sweep,512,8,422,13,114.8,20.4,1180309,2026-09-04T06:02:19+08:00,2,175.4261,8.061556942
output_sweep,512,8,422,13,118.2,24.4,1086093,2026-09-04T06:02:35+08:00,3,179.5017,8.058054019
output_sweep,512,32,422,37,116.9,24.9,1170476,2026-09-04T06:02:52+08:00,1,202.3694,9.067569003
output_sweep,512,32,422,37,118.1,20.8,400000,2026-09-04T06:03:09+08:00,2,200.6970,9.069203981
output_sweep,512,32,422,37,117.0,23.3,400000,2026-09-04T06:03:27+08:00,3,200.5372,9.067519418
output_sweep,512,64,422,68,115.6,20.8,400000,2026-09-04T06:03:44+08:00,1,213.4837,10.080811877
output_sweep,512,64,422,69,116.1,21.4,400000,2026-09-04T06:04:03+08:00,2,219.6995,10.079278805
output_sweep,512,64,422,68,120.7,20.9,2696573,2026-09-04T06:04:21+08:00,3,213.5360,10.079291178
output_sweep,512,128,422,133,116.2,21.0,625707,2026-09-04T06:04:40+08:00,1,264.6818,13.107741252
output_sweep,512,128,422,133,118.0,20.5,400000,2026-09-04T06:05:01+08:00,2,265.0000,13.107250700
output_sweep,512,128,422,133,116.2,20.2,400000,2026-09-04T06:05:22+08:00,3,268.7468,14.116613399
output_sweep,512,256,422,260,118.0,20.9,400000,2026-09-04T06:05:45+08:00,1,357.2878,19.167474618
output_sweep,512,256,422,260,119.3,20.2,1404768,2026-09-04T06:06:13+08:00,2,363.9014,20.176516885
output_sweep,512,256,422,260,117.1,20.6,400000,2026-09-04T06:06:41+08:00,3,358.6415,20.178110251
output_sweep,512,512,422,364,115.4,19.8,1175098,2026-09-04T06:07:10+08:00,1,448.7783,25.218986406
output_sweep,512,512,422,422,116.3,20.1,1811188,2026-09-04T06:07:43+08:00,2,486.1695,28.250282227
output_sweep,512,512,422,450,116.1,19.5,969959,2026-09-04T06:08:20+08:00,3,518.7787,30.271679803
