sweep_type,input_tokens_requested,output_tokens_requested,input_tokens_actual,output_tokens_actual,prefill_tokens_per_sec,decode_tokens_per_sec,cpu_freq_khz,timestamp,run,energy_joules,wall_seconds
input_sweep,128,64,104,68,120.7,26.1,429232,2026-09-04T05:03:12+08:00,1,155.4606,8.007960429
input_sweep,128,64,104,69,115.7,25.1,2070638,2026-09-04T05:03:28+08:00,2,158.7099,8.007599844
input_sweep,128,64,104,68,122.0,28.6,1405103,2026-09-04T05:03:44+08:00,3,153.6186,8.007594767
input_sweep,512,64,422,69,116.1,21.4,400000,2026-09-04T05:04:01+08:00,1,241.2782,10.008933665
input_sweep,512,64,422,68,120.7,23.2,400000,2026-09-04T05:04:19+08:00,2,236.5640,10.008942848
input_sweep,512,64,422,68,117.9,23.3,467728,2026-09-04T05:04:38+08:00,3,240.6012,10.009199842
input_sweep,2048,64,1693,68,85.4,15.4,3794211,2026-09-04T05:04:56+08:00,1,502.5105,28.027350566
input_sweep,2048,64,1693,68,86.9,15.1,400000,2026-09-04T05:05:32+08:00,2,481.1420,28.029167494
input_sweep,2048,64,1693,69,87.9,15.2,400000,2026-09-04T05:06:09+08:00,3,480.8938,28.028503317
output_sweep,512,8,422,13,116.1,22.9,756307,2026-09-04T05:06:45+08:00,1,183.1692,8.007050711
output_sweep,512,8,422,13,117.3,24.4,400000,2026-09-04T05:07:02+08:00,2,180.1374,8.007626246
output_sweep,512,8,422,13,117.8,24.4,400000,2026-09-04T05:07:18+08:00,3,179.6586,8.007632251
output_sweep,512,64,422,69,117.7,21.7,1127194,2026-09-04T05:07:34+08:00,1,221.3901,10.009132237
output_sweep,512,64,422,68,110.2,20.1,1063071,2026-09-04T05:07:53+08:00,2,229.3739,12.011241012
output_sweep,512,64,422,68,117.0,21.2,400000,2026-09-04T05:08:13+08:00,3,220.7311,10.009989116
output_sweep,512,256,422,260,118.5,20.2,400000,2026-09-04T05:08:32+08:00,1,355.9769,20.018368714
output_sweep,512,256,422,261,118.4,20.1,1214477,2026-09-04T05:09:00+08:00,2,360.6898,20.018948112
output_sweep,512,256,422,261,115.9,19.9,400000,2026-09-04T05:09:28+08:00,3,356.8552,20.018632760
output_sweep,512,512,422,347,105.6,17.1,400000,2026-09-04T05:09:57+08:00,1,489.2908,28.026010603
output_sweep,512,512,422,453,119.3,20.3,2591485,2026-09-04T05:10:33+08:00,2,505.6204,30.029278905
output_sweep,512,512,422,304,117.5,20.5,614051,2026-09-04T05:11:11+08:00,3,398.5772,22.019525280
