strategy,elapsed_s,energy_uj,cpu_freq_khz
greedy,.000918434,118533256246,615459
greedy,1.006885029,118552861970,4610986
greedy,2.013770680,118571174972,4595010
greedy,3.021090986,118591934502,4100000
greedy,4.027304839,118623059361,4102849
greedy,5.033764788,118653880876,4100567
greedy,6.039640978,118684569946,3743487
greedy,7.045707428,118712416432,4100000
greedy,8.052338025,118737751450,4073095
greedy,9.059179366,118763020184,4101813
greedy,10.065932986,118788251809,4100041
greedy,11.072743624,118813802769,4100000
greedy,12.079433577,118838538790,4100000
