strategy,input_tokens_actual,output_tokens_actual,prefill_tokens_per_sec,decode_tokens_per_sec,cpu_freq_khz,timestamp,run,energy_joules,wall_seconds
greedy,422,133,117.4,24.2,400201,2026-09-04T08:22:08+08:00,1,310.8800,13.092638440
greedy,422,133,116.9,23.4,400000,2026-09-04T08:22:29+08:00,2,309.7530,13.095074569
greedy,422,133,117.3,22.9,998662,2026-09-04T08:22:51+08:00,3,310.9029,13.093832177
temperature,422,133,117.2,22.1,400000,2026-09-04T08:23:12+08:00,1,315.6813,13.098455685
temperature,422,133,120.1,20.1,1576908,2026-09-04T08:23:33+08:00,2,273.7739,14.113842046
temperature,422,132,116.2,20.0,980877,2026-09-04T08:23:56+08:00,3,276.9856,14.116738857
top_p,422,133,116.7,19.6,400278,2026-09-04T08:24:18+08:00,1,277.0144,14.116108282
top_p,422,133,119.3,19.8,852326,2026-09-04T08:24:41+08:00,2,274.6285,14.115341045
top_p,422,133,117.2,19.9,3374016,2026-09-04T08:25:03+08:00,3,272.8208,14.118449496
top_k,422,132,121.2,19.9,400000,2026-09-04T08:25:25+08:00,1,273.7179,14.116037942
top_k,422,133,118.4,20.1,3499990,2026-09-04T08:25:48+08:00,2,276.8650,14.115457158
top_k,422,133,116.9,20.4,854439,2026-09-04T08:26:10+08:00,3,274.8893,14.118688097
