strategy,elapsed_s,energy_uj,cpu_freq_khz
greedy,.000810089,158281394847,766626
greedy,1.006983314,158298199797,1383045
greedy,2.014123426,158316244367,400000
greedy,3.021208431,158336141289,2987937
greedy,4.028904978,158362404283,4100000
greedy,5.035479989,158391456638,400000
greedy,6.042706355,158420864094,400000
greedy,7.049119276,158450643254,4100000
greedy,8.055863000,158476402832,4100000
greedy,9.063178812,158502434198,4099952
greedy,10.070069453,158528574207,3852214
greedy,11.077037488,158553898605,4100000
greedy,12.084056062,158578978314,4100000
greedy,.000833949,158628633094,400000
greedy,1.006945442,158648427355,400000
greedy,2.014297242,158667323241,4100299
greedy,3.021945451,158687531991,4104659
greedy,4.028668595,158716508113,400000
greedy,5.035468414,158745676068,3863930
greedy,6.042213193,158775136076,400000
greedy,7.049086018,158803518571,4051497
greedy,8.056423325,158828950330,4100000
greedy,9.063774068,158853624400,4100000
greedy,10.071219051,158879228399,1117584
greedy,11.078887987,158904484072,3755190
greedy,12.086283441,158929615050,4068391
greedy,.000869430,158976077456,998662
greedy,1.006920400,158995989819,400000
greedy,2.013562015,159014895166,400000
greedy,3.021338646,159035078953,400000
greedy,4.028327360,159064734089,4100000
greedy,5.035005617,159094493962,3239097
greedy,6.041790497,159123684011,400000
greedy,7.048191549,159151803324,4100000
greedy,8.055294485,159177353552,4100000
greedy,9.062646636,159202593294,4104130
greedy,10.070364787,159226992646,4100000
greedy,11.077766121,159251519744,2141631
greedy,12.085482025,159276520595,4600000
temperature,.000856673,159325124658,400000
temperature,1.007301835,159344783482,900870
temperature,2.014180850,159363444445,2246698
temperature,3.022592627,159385114006,4099958
temperature,4.029405116,159415014870,4100000
temperature,5.036082892,159444677941,4100805
temperature,6.042790460,159474030222,400000
temperature,7.049901262,159502269102,4100000
temperature,8.059693340,159527075069,4100121
temperature,9.067465111,159551677972,4099958
temperature,10.074911255,159576480948,400000
temperature,11.082386324,159600817800,4100350
temperature,12.090237135,159625733813,4100000
temperature,.000827994,159678431859,1576908
temperature,1.006753551,159698395858,4128344
temperature,2.013680773,159717157712,4478178
temperature,3.021788374,159737501898,4097144
temperature,4.028851122,159767360403,4100000
temperature,5.035620653,159797898472,4100041
temperature,6.042075548,159827601704,4097763
temperature,7.048750088,159855095713,4126622
temperature,8.057099750,159875336140,3400000
temperature,9.066731026,159889828840,3400000
temperature,10.076321430,159904247992,3401712
temperature,11.085725925,159918883392,3499957
temperature,12.095322557,159933571526,3500000
temperature,13.104347390,159947711992,400000
temperature,.001114933,159989330782,2022884
temperature,1.007027497,160009081891,2318571
temperature,2.014519294,160027752315,400000
temperature,3.022544211,160048262821,4100000
temperature,4.029366704,160077518789,400000
temperature,5.035917113,160106916236,400000
temperature,6.042774139,160137034811,400000
temperature,7.049610653,160165521493,4028249
temperature,8.057412396,160187638319,400000
temperature,9.066920506,160202065589,3400000
temperature,10.077074581,160216642883,3504452
temperature,11.086879093,160231279137,3075122
temperature,12.096649994,160245866441,3500000
temperature,13.106431446,160260608835,3499327
top_p,.000913117,160303793661,400000
top_p,1.007336041,160324191070,4699952
top_p,2.014619601,160342928083,4504870
top_p,3.022841408,160363224784,4100000
top_p,4.029881086,160392371926,4100041
top_p,5.036395697,160421751550,4100000
top_p,6.043445238,160451450266,4100000
top_p,7.049988806,160479838743,4597715
top_p,8.058406642,160500821538,400000
top_p,9.067561174,160515336882,1528897
top_p,10.076706560,160529787712,3500045
top_p,11.086822985,160544501724,3500000
top_p,12.096197239,160559304543,3500035
top_p,13.105313794,160574029298,3405802
top_p,.000900869,160617351757,400165
top_p,1.006817824,160637041710,400000
top_p,2.014106268,160655929112,4700000
top_p,3.022050433,160676658674,4100000
top_p,4.029102195,160706287565,4100041
top_p,5.035651041,160735855543,4100000
top_p,6.042424818,160765692076,4100000
top_p,7.048748649,160793409351,4094036
top_p,8.056389343,160813692747,3500000
top_p,9.066567658,160828476400,3300033
top_p,10.076724016,160842708602,3499964
top_p,11.086215631,160857430000,3499964
top_p,12.095676352,160872101044,3401797
top_p,13.104839131,160886662775,3500000
top_p,.000860278,160928992622,1287018
top_p,1.007168067,160948797930,400000
top_p,2.014318632,160967551606,400000
top_p,3.022035841,160987977762,4100000
top_p,4.028864553,161017650537,4100000
top_p,5.035677606,161047451670,400000
top_p,6.042525873,161076693965,400000
top_p,7.049719714,161104895675,4100000
top_p,8.057747243,161123343870,400000
top_p,9.068596370,161137846336,3401263
top_p,10.078382357,161152316697,3399501
top_p,11.088517136,161166963510,3499964
top_p,12.098390175,161181723970,3400000
top_p,13.108279587,161196312495,960491
top_k,.000810656,161240148076,1167413
top_k,1.007114130,161260054275,459059
top_k,2.014620052,161278865262,4700000
top_k,3.022771624,161299272497,4100000
top_k,4.029476121,161329409139,4099958
top_k,5.036211603,161359182256,4100000
top_k,6.043136358,161389297779,4100000
top_k,7.050084599,161417216836,4100041
top_k,8.057228534,161436958058,3400000
top_k,9.068071987,161451356458,3400294
top_k,10.077559387,161465867163,3400000
top_k,11.087236783,161480552612,400000
top_k,12.097144996,161495147911,3500035
top_k,13.106683981,161509363878,400000
top_k,.000868461,161550287052,606072
top_k,1.006879331,161570241591,400000
top_k,2.014332114,161589911035,400000
top_k,3.022225986,161610570345,4100000
top_k,4.028986792,161640112811,4100000
top_k,5.035478989,161669895022,4100000
top_k,6.042979751,161699779223,400000
top_k,7.050047843,161728096778,4098172
top_k,8.057518645,161749413129,3399477
top_k,9.067418039,161763858771,3399965
top_k,10.076835292,161778407867,3500000
top_k,11.086562544,161792994073,3500000
top_k,12.095778120,161807747636,3398085
top_k,13.105353129,161822092021,400000
top_k,.000881886,161864179742,1517830
top_k,1.006885561,161883804448,2707669
top_k,2.014394054,161903195329,400000
top_k,3.022623827,161923621424,4100041
top_k,4.029609442,161953153880,4099958
top_k,5.037063444,161983118342,4100000
top_k,6.044439738,162012541789,4100000
top_k,7.050951652,162040762908,4098816
top_k,8.058628126,162060963601,3400000
top_k,9.068974793,162075387332,3400000
top_k,10.079501585,162089860561,3500000
top_k,11.089418190,162104548756,400000
top_k,12.099514391,162119255383,3401382
top_k,13.108959153,162133390113,400000
