sweep_type,input_tokens_requested,output_tokens_requested,run,elapsed_s,energy_uj,cpu_freq_khz
input_sweep,128,64,1,.000849453,96967165398,400000
input_sweep,128,64,1,1.006321721,96986388066,400000
input_sweep,128,64,1,2.013009764,97004776447,677223
input_sweep,128,64,1,3.019811984,97024843107,4100000
input_sweep,128,64,1,4.025885140,97054006362,4100042
input_sweep,128,64,1,5.032852059,97079442577,4102112
input_sweep,128,64,1,6.039906725,97105468328,1232498
input_sweep,128,64,2,.000846886,97159024587,857772
input_sweep,128,64,2,1.006783815,97178420534,4602788
input_sweep,128,64,2,2.013726709,97196701126,400000
input_sweep,128,64,2,3.020794965,97216239162,4099958
input_sweep,128,64,2,4.027146721,97245682263,4100000
input_sweep,128,64,2,5.034544214,97272125128,4100000
input_sweep,128,64,2,6.041458873,97298948545,4100000
input_sweep,128,64,3,.000822337,97345868530,1061785
input_sweep,128,64,3,1.006550939,97365518199,400000
input_sweep,128,64,3,2.013582864,97384075281,400000
input_sweep,128,64,3,3.020874950,97404330844,4100000
input_sweep,128,64,3,4.027169614,97434323687,4100041
input_sweep,128,64,3,5.034151051,97459949415,4099953
input_sweep,128,64,3,6.041411967,97485070628,4096374
input_sweep,256,64,1,.000839462,97541571520,935459
input_sweep,256,64,1,1.006920984,97560659545,427929
input_sweep,256,64,1,2.013772965,97579373975,400000
input_sweep,256,64,1,3.021254329,97599665488,4099958
input_sweep,256,64,1,4.028460510,97628951790,4100000
input_sweep,256,64,1,5.035239911,97658240106,4097320
input_sweep,256,64,1,6.042318656,97683561513,4100049
input_sweep,256,64,1,7.049074684,97708437731,4100291
input_sweep,256,64,2,.000937662,97761846652,474723
input_sweep,256,64,2,1.007126252,97781225082,400000
input_sweep,256,64,2,2.014144964,97799673704,4100000
input_sweep,256,64,2,3.021750642,97819924446,4100000
input_sweep,256,64,2,4.028278432,97849262200,4099958
input_sweep,256,64,2,5.035135052,97878098064,4099953
input_sweep,256,64,2,6.042333888,97902909402,4100000
input_sweep,256,64,2,7.049455416,97928863437,4700000
input_sweep,256,64,3,.000872668,97986986152,3015834
input_sweep,256,64,3,1.006698213,98006966874,400000
input_sweep,256,64,3,2.013571939,98025782683,400000
input_sweep,256,64,3,3.021134798,98045660135,4099958
input_sweep,256,64,3,4.027779409,98075157313,4102837
input_sweep,256,64,3,5.034535041,98104172192,4099725
input_sweep,256,64,3,6.041837417,98128825205,4100000
input_sweep,256,64,3,7.049256110,98153372933,4102299
input_sweep,512,64,1,.000910122,98212798806,400000
input_sweep,512,64,1,1.006609172,98232542896,4681207
input_sweep,512,64,1,2.013438257,98251140993,4100000
input_sweep,512,64,1,3.020766447,98270853101,4099958
input_sweep,512,64,1,4.027568216,98300016234,4102762
input_sweep,512,64,1,5.033954331,98329827071,400000
input_sweep,512,64,1,6.040410010,98359703032,4099958
input_sweep,512,64,1,7.046960685,98388589677,4031172
input_sweep,512,64,1,8.054520372,98414284862,4006446
input_sweep,512,64,1,9.061972133,98439577644,4098047
input_sweep,512,64,2,.000919251,98488164983,400000
input_sweep,512,64,2,1.006811426,98507824540,4612779
input_sweep,512,64,2,2.013838030,98526677458,4700000
input_sweep,512,64,2,3.021474155,98546541970,4100000
input_sweep,512,64,2,4.028304333,98576404992,400000
input_sweep,512,64,2,5.035154630,98606133615,4095891
input_sweep,512,64,2,6.042209664,98635996209,3685519
input_sweep,512,64,2,7.049327144,98664015791,4102026
input_sweep,512,64,2,8.056372763,98689354532,4098887
input_sweep,512,64,2,9.063552479,98714459631,4100000
input_sweep,512,64,3,.000854123,98759923504,400000
input_sweep,512,64,3,1.006919090,98779490532,400000
input_sweep,512,64,3,2.014231262,98798155584,400000
input_sweep,512,64,3,3.021660505,98817911332,4100000
input_sweep,512,64,3,4.028535358,98847508790,4100000
input_sweep,512,64,3,5.035128820,98877013231,400000
input_sweep,512,64,3,6.041954841,98906939119,4100041
input_sweep,512,64,3,7.048623988,98938024855,407728
input_sweep,512,64,3,8.055897439,98963341623,4100000
input_sweep,512,64,3,9.062984723,98989059087,4100000
input_sweep,1024,64,1,.000942321,99046901529,400000
input_sweep,1024,64,1,1.007547549,99066551198,804802
input_sweep,1024,64,1,2.014598280,99085381716,3861430
input_sweep,1024,64,1,3.021863335,99106066051,4100041
input_sweep,1024,64,1,4.028820639,99136097346,4100000
input_sweep,1024,64,1,5.035220696,99165990824,4097636
input_sweep,1024,64,1,6.041867411,99196097986,4100548
input_sweep,1024,64,1,7.048175774,99225523936,4100000
input_sweep,1024,64,1,8.054954356,99254524167,4100000
input_sweep,1024,64,1,9.061603871,99284343975,400000
input_sweep,1024,64,1,10.068271367,99313596891,400000
input_sweep,1024,64,1,11.074878612,99339736839,4100043
input_sweep,1024,64,1,12.081825849,99365161762,4090868
input_sweep,1024,64,1,13.089255598,99390293533,4100000
input_sweep,1024,64,2,.000901556,99437541032,701816
input_sweep,1024,64,2,1.007217973,99457141202,2229551
input_sweep,1024,64,2,2.014021454,99475780863,651588
input_sweep,1024,64,2,3.021363692,99496130970,4600000
input_sweep,1024,64,2,4.027772229,99525516332,400000
input_sweep,1024,64,2,5.034585601,99554729453,3911536
input_sweep,1024,64,2,6.041121362,99584549201,2677700
input_sweep,1024,64,2,7.047491841,99614485098,3631091
input_sweep,1024,64,2,8.054139864,99643843604,4100000
input_sweep,1024,64,2,9.060786680,99673407433,4100000
input_sweep,1024,64,2,10.067888401,99702962838,4100041
input_sweep,1024,64,2,11.074883460,99719329007,400000
input_sweep,1024,64,2,12.084575378,99733867422,3395442
input_sweep,1024,64,2,13.094026074,99748584852,3399302
input_sweep,1024,64,3,.000859024,99797889902,400000
input_sweep,1024,64,3,1.006661761,99818149799,400000
input_sweep,1024,64,3,2.013807230,99837178376,400000
input_sweep,1024,64,3,3.021293750,99856744793,4100000
input_sweep,1024,64,3,4.028197428,99886700283,4100000
input_sweep,1024,64,3,5.034775233,99916062085,400000
input_sweep,1024,64,3,6.041119723,99945945858,400000
input_sweep,1024,64,3,7.048478026,99975399457,3800038
input_sweep,1024,64,3,8.057804572,99991192813,400000
input_sweep,1024,64,3,9.071334037,100005303556,400000
input_sweep,1024,64,3,10.082375827,100019906546,400000
input_sweep,1024,64,3,11.093127263,100034500991,3200032
input_sweep,1024,64,3,12.104003523,100048996132,3300875
input_sweep,1024,64,3,13.113597406,100063409791,3500000
input_sweep,1024,64,3,14.123344536,100078295495,3500000
input_sweep,1024,64,3,15.132937986,100093079027,3500000
input_sweep,2048,64,1,.000834189,100141757918,830203
input_sweep,2048,64,1,1.006810818,100161635248,4615876
input_sweep,2048,64,1,2.013689583,100180180793,400000
input_sweep,2048,64,1,3.021136110,100200313738,4100000
input_sweep,2048,64,1,4.027865480,100229872683,4100000
input_sweep,2048,64,1,5.034692237,100259942796,4100926
input_sweep,2048,64,1,6.041175745,100289862031,400000
input_sweep,2048,64,1,7.048060538,100319035418,400000
input_sweep,2048,64,1,8.056954324,100334286600,400000
input_sweep,2048,64,1,9.068405799,100348795474,400000
input_sweep,2048,64,1,10.079024357,100363281582,3200000
input_sweep,2048,64,1,11.088979852,100377875661,3200000
input_sweep,2048,64,1,12.098888862,100392670057,400000
input_sweep,2048,64,1,13.109744586,100407288549,400000
input_sweep,2048,64,1,14.119613009,100422110045,400000
input_sweep,2048,64,1,15.129213454,100436851584,400000
input_sweep,2048,64,1,16.139028354,100451713973,400000
input_sweep,2048,64,1,17.148547129,100466721991,3248748
input_sweep,2048,64,1,18.158556871,100481634734,3300000
input_sweep,2048,64,1,19.168839847,100496593436,400000
input_sweep,2048,64,1,20.178661184,100511456862,3300000
input_sweep,2048,64,1,21.188249986,100526482092,400000
input_sweep,2048,64,1,22.198363810,100541457945,3300000
input_sweep,2048,64,1,23.207607041,100556170798,3500000
input_sweep,2048,64,1,24.217256581,100571202742,3499813
input_sweep,2048,64,1,25.226536057,100586468267,3400000
input_sweep,2048,64,1,26.236707541,100601527432,3500000
input_sweep,2048,64,2,.000868715,100649089383,915099
input_sweep,2048,64,2,1.007036188,100668936378,400000
input_sweep,2048,64,2,2.014093760,100687592275,1335362
input_sweep,2048,64,2,3.022301038,100707361390,4100041
input_sweep,2048,64,2,4.029644094,100736719225,4100000
input_sweep,2048,64,2,5.036217734,100765457005,4100041
input_sweep,2048,64,2,6.042398731,100795379719,4100000
input_sweep,2048,64,2,7.049605303,100823832405,400000
input_sweep,2048,64,2,8.058391121,100839126311,400000
input_sweep,2048,64,2,9.068898171,100853461907,400000
input_sweep,2048,64,2,10.079134815,100868201371,3034769
input_sweep,2048,64,2,11.090417165,100882753153,400000
input_sweep,2048,64,2,12.100641697,100897315188,3300000
input_sweep,2048,64,2,13.109890222,100912229518,400000
input_sweep,2048,64,2,14.120384900,100926988025,3199967
input_sweep,2048,64,2,15.130234287,100941798595,3199967
input_sweep,2048,64,2,16.140084764,100956652866,400000
input_sweep,2048,64,2,17.150812709,100971706721,3199967
input_sweep,2048,64,2,18.161049827,100986624041,400000
input_sweep,2048,64,2,19.171333410,101001590312,400000
input_sweep,2048,64,2,20.181934176,101016303348,400000
input_sweep,2048,64,2,21.191416617,101031277736,400000
input_sweep,2048,64,2,22.201354908,101046483629,3300000
input_sweep,2048,64,2,23.210799595,101061264292,3400034
input_sweep,2048,64,2,24.220862377,101076164279,3500035
input_sweep,2048,64,2,25.229923534,101091129633,3500038
input_sweep,2048,64,2,26.239029147,101106257158,3600000
input_sweep,2048,64,2,27.248558646,101121560891,3400000
input_sweep,2048,64,3,.000852091,101166699935,799273
input_sweep,2048,64,3,1.007086657,101186503779,4700000
input_sweep,2048,64,3,2.014479595,101205076180,4700000
input_sweep,2048,64,3,3.021750704,101225115008,4100000
