strategy,elapsed_s,energy_uj,cpu_freq_khz
greedy,.000847552,169272777659,2828129
greedy,1.006918646,169292084067,400114
greedy,2.014056354,169310762852,400000
greedy,3.021650061,169331144514,4100000
greedy,4.028283722,169360452666,4089432
greedy,5.035307735,169389826614,400000
greedy,6.042339880,169418893373,4600000
greedy,7.049020845,169447491079,400000
greedy,8.056668188,169474162153,4100000
greedy,9.063673932,169499150858,4600000
greedy,10.071002981,169523885780,4100041
greedy,11.077823174,169548600561,4100000
greedy,12.085129286,169572848302,4700000
greedy,13.091893399,169597699129,4105976
greedy,14.098761847,169622445709,4101952
greedy,15.105707413,169647102201,4100044
greedy,16.112663317,169671905848,3795785
greedy,17.119861781,169696807274,4100000
greedy,.000850665,169754867428,848547
greedy,1.006988654,169774721015,447993
greedy,2.014491486,169793541645,400000
greedy,3.022782608,169813717436,4100000
greedy,4.029516907,169843160293,400000
greedy,5.036746172,169872964782,400000
greedy,6.044122779,169903096480,4100422
greedy,7.051430904,169930917087,3804109
greedy,8.058902815,169956439605,4100000
greedy,9.066388070,169982463952,4089750
greedy,10.073755665,170006750145,4100000
greedy,11.081340039,170030892783,4100000
greedy,12.089221414,170055290365,4100000
greedy,13.096263449,170079705525,4107495
greedy,14.104316850,170104181658,4036601
greedy,15.111329761,170128971390,4100000
greedy,16.118237460,170153832105,4100000
greedy,17.125480827,170178472178,932499
greedy,.000822946,170236982588,400000
greedy,1.007100327,170256953118,4700000
greedy,2.013950902,170275806158,399847
greedy,3.022496833,170295942337,4100041
greedy,4.029625798,170325635498,4100041
greedy,5.035974701,170355109788,400000
greedy,6.042708351,170384685579,400000
greedy,7.049076323,170412815634,4082054
greedy,8.056216401,170438009478,4100000
greedy,9.064203127,170463523573,4100000
greedy,10.071494922,170488219188,4101168
greedy,11.079550953,170512705576,4100000
greedy,12.087120346,170536943246,4110731
greedy,13.094591483,170561460944,4099958
greedy,14.101846811,170586030400,4100000
greedy,15.109466543,170611847412,4100000
greedy,16.117075314,170636502622,4100000
greedy,17.124506060,170662035699,4100000
temperature,.000833200,170722392844,679693
temperature,1.007144140,170742250764,400000
temperature,2.014177716,170761163802,4594116
temperature,3.021834534,170781558952,4099958
temperature,4.028852844,170810913003,4100000
temperature,5.035664721,170840403467,4100000
temperature,6.042375915,170869888682,4099958
temperature,7.049073031,170898142455,4099421
temperature,8.056356842,170923354000,4100000
temperature,9.063742557,170949077566,4103078
temperature,10.071458647,170967742680,3400431
temperature,11.080873271,170982213468,3500000
temperature,12.090373293,170996853750,3400000
temperature,13.099972650,171011367629,3500000
temperature,14.108998722,171026075538,3500000
temperature,15.118610056,171040923279,3401479
temperature,16.128136017,171055713097,3499715
temperature,17.137715425,171070521469,3341401
temperature,18.147519232,171085291939,3500000
temperature,19.157279500,171099991853,3600000
temperature,.000837796,171143985088,1093672
temperature,1.006943630,171163934927,400000
temperature,2.013888413,171183328554,3517096
temperature,3.021748898,171203195385,4099958
temperature,4.028870027,171232588498,3627901
temperature,5.036482629,171262060286,4100000
temperature,6.043665071,171291428253,4100000
temperature,7.050746795,171319295125,4010444
temperature,8.058179179,171340049222,3500000
temperature,9.067396277,171354505484,3400000
temperature,10.077315857,171368919326,3599963
temperature,11.086738083,171383645424,3500038
temperature,12.095556583,171398305359,3500000
temperature,13.104984737,171413019555,3500000
temperature,14.114230808,171427638719,826762
temperature,15.123971454,171442826974,400000
temperature,16.133781992,171457697236,3131985
temperature,17.143618985,171472535882,3500000
temperature,18.153101636,171487477433,3398959
