model,sweep_type,input_tokens_requested,output_tokens_requested,input_tokens_actual,output_tokens_actual,prefill_tokens_per_sec,decode_tokens_per_sec,cpu_freq_khz,timestamp,run,energy_joules,wall_seconds,run_ok
llama-1b,input_sweep,128,64,104,64,115.0,28.1,400000,2026-09-17T07:12:26+08:00,1,108.0142,5.036224986,1
llama-1b,input_sweep,128,64,104,64,118.2,26.7,400000,2026-09-17T07:12:39+08:00,2,109.3231,5.037345598,1
llama-1b,input_sweep,128,64,104,64,121.5,26.8,400000,2026-09-17T07:12:53+08:00,3,108.6582,5.036414424,1
llama-1b,input_sweep,128,64,104,64,117.3,26.6,400000,2026-09-17T07:13:06+08:00,4,109.6378,5.036966762,1
llama-1b,input_sweep,128,64,104,64,116.8,26.7,400000,2026-09-17T07:13:19+08:00,5,107.9470,5.036966157,1
llama-1b,input_sweep,256,64,211,64,120.8,25.7,400000,2026-09-17T07:13:33+08:00,1,133.4521,6.043615808,1
llama-1b,input_sweep,256,64,211,64,118.7,26.8,400000,2026-09-17T07:13:47+08:00,2,133.4425,6.042896728,1
llama-1b,input_sweep,256,64,211,64,117.9,25.5,400000,2026-09-17T07:14:02+08:00,3,134.4983,6.044231513,1
llama-1b,input_sweep,256,64,211,64,117.3,24.7,400000,2026-09-17T07:14:16+08:00,4,138.4836,6.043410940,1
llama-1b,input_sweep,256,64,211,64,118.8,25.3,400341,2026-09-17T07:14:30+08:00,5,134.9169,6.043194867,1
llama-1b,input_sweep,384,64,316,64,117.7,26.1,400000,2026-09-17T07:14:45+08:00,1,159.5390,7.051088217,1
llama-1b,input_sweep,384,64,316,64,121.8,26.3,3670004,2026-09-17T07:15:00+08:00,2,158.3169,7.051701149,1
llama-1b,input_sweep,384,64,316,64,99.3,22.9,400000,2026-09-17T07:15:16+08:00,3,227.1931,8.058253354,1
llama-1b,input_sweep,384,64,316,64,117.0,26.9,400000,2026-09-17T07:15:32+08:00,4,159.2254,7.052079308,1
llama-1b,input_sweep,384,64,316,64,114.0,25.7,400000,2026-09-17T07:15:47+08:00,5,182.3507,7.049340285,1
llama-1b,input_sweep,512,64,422,64,117.9,24.7,400000,2026-09-17T07:16:03+08:00,1,189.5060,8.057988726,1
llama-1b,input_sweep,512,64,422,64,116.5,25.2,400000,2026-09-17T07:16:19+08:00,2,189.1917,8.058553253,1
llama-1b,input_sweep,512,64,422,64,116.1,25.1,400000,2026-09-17T07:16:36+08:00,3,187.4116,8.058717918,1
llama-1b,input_sweep,512,64,422,64,113.9,26.3,400000,2026-09-17T07:16:52+08:00,4,189.4417,8.058661695,1
llama-1b,input_sweep,512,64,422,64,116.5,26.8,400000,2026-09-17T07:17:08+08:00,5,186.4796,8.059138616,1
llama-1b,input_sweep,768,64,635,64,114.4,25.2,400000,2026-09-17T07:17:25+08:00,1,242.0843,10.072979832,1
llama-1b,input_sweep,768,64,635,64,115.4,25.7,400000,2026-09-17T07:17:43+08:00,2,240.5207,10.072986709,1
llama-1b,input_sweep,768,64,635,64,116.7,23.5,400092,2026-09-17T07:18:01+08:00,3,243.3050,10.072580228,1
llama-1b,input_sweep,768,64,635,64,117.0,24.2,400000,2026-09-17T07:18:20+08:00,4,241.4410,10.072662329,1
llama-1b,input_sweep,768,64,635,64,116.9,24.2,400000,2026-09-17T07:18:38+08:00,5,240.8602,10.071744270,1
llama-1b,input_sweep,1024,64,846,64,114.4,23.3,400000,2026-09-17T07:18:57+08:00,1,296.4441,12.086698561,1
llama-1b,input_sweep,1024,64,846,64,114.5,23.2,400000,2026-09-17T07:19:17+08:00,2,295.3553,12.087667538,1
llama-1b,input_sweep,1024,64,846,64,112.1,23.3,400000,2026-09-17T07:19:38+08:00,3,299.9649,12.086673748,1
llama-1b,input_sweep,1024,64,846,64,112.4,23.2,400000,2026-09-17T07:19:58+08:00,4,300.0059,12.088223581,1
llama-1b,input_sweep,1024,64,846,64,113.3,23.4,400000,2026-09-17T07:20:18+08:00,5,297.0829,12.086232141,1
llama-1b,input_sweep,1536,64,1270,64,111.5,19.9,400000,2026-09-17T07:20:39+08:00,1,413.0787,16.113041882,1
llama-1b,input_sweep,1536,64,1270,64,112.0,20.1,400000,2026-09-17T07:21:03+08:00,2,414.6260,16.114370806,1
llama-1b,input_sweep,1536,64,1270,64,110.2,18.9,400000,2026-09-17T07:21:28+08:00,3,418.9730,17.121350049,1
llama-1b,input_sweep,1536,64,1270,64,109.8,19.5,400000,2026-09-17T07:21:53+08:00,4,420.6832,17.123906022,1
llama-1b,input_sweep,1536,64,1270,64,110.3,20.2,400000,2026-09-17T07:22:18+08:00,5,416.3194,16.115943712,1
llama-1b,input_sweep,2048,64,1693,64,92.3,15.9,400000,2026-09-17T07:22:43+08:00,1,444.9435,24.214610557,1
