model,sweep_type,input_tokens_requested,output_tokens_requested,run,elapsed_s,energy_uj,cpu_freq_khz
llama-1b,input_sweep,128,64,1,.000938047,106877922619,400000
llama-1b,input_sweep,128,64,1,1.006932898,106895638028,400000
llama-1b,input_sweep,128,64,1,2.013583471,106923408953,400000
llama-1b,input_sweep,128,64,1,3.020344067,106948624892,4100000
llama-1b,input_sweep,128,64,1,4.027664436,106972177383,400000
llama-1b,input_sweep,128,64,2,.000875957,107010689552,400000
llama-1b,input_sweep,128,64,2,1.007010027,107028341607,400000
llama-1b,input_sweep,128,64,2,2.014394445,107056405927,4099958
llama-1b,input_sweep,128,64,2,3.021372166,107080753521,4100045
llama-1b,input_sweep,128,64,2,4.028505328,107104646221,4100043
llama-1b,input_sweep,128,64,3,.000889591,107144809631,400000
llama-1b,input_sweep,128,64,3,1.007192311,107162398759,400000
llama-1b,input_sweep,128,64,3,2.013706379,107190736150,4099958
llama-1b,input_sweep,128,64,3,3.020473096,107215616457,4100000
llama-1b,input_sweep,128,64,3,4.027930431,107239099673,4063035
llama-1b,input_sweep,128,64,4,.000854973,107278538781,400000
llama-1b,input_sweep,128,64,4,1.007009629,107296090799,400000
llama-1b,input_sweep,128,64,4,2.014143403,107323851104,400000
llama-1b,input_sweep,128,64,4,3.020955637,107348185209,4102546
llama-1b,input_sweep,128,64,4,4.028025433,107372475675,4599953
llama-1b,input_sweep,128,64,5,.000838313,107412870347,400000
llama-1b,input_sweep,128,64,5,1.007535382,107430517701,1604091
llama-1b,input_sweep,128,64,5,2.014159140,107458508169,4100000
llama-1b,input_sweep,128,64,5,3.020991173,107482916981,4100000
llama-1b,input_sweep,128,64,5,4.028530287,107506089346,400000
llama-1b,input_sweep,256,64,1,.000829929,107549892640,790424
llama-1b,input_sweep,256,64,1,1.007238221,107567535112,400000
llama-1b,input_sweep,256,64,1,2.014591447,107595320868,4099958
llama-1b,input_sweep,256,64,1,3.021053753,107623774653,4100041
llama-1b,input_sweep,256,64,1,4.027788158,107646947018,4100000
llama-1b,input_sweep,256,64,1,5.035030386,107669751464,864669
llama-1b,input_sweep,256,64,2,.000879546,107707375025,400000
llama-1b,input_sweep,256,64,2,1.007167396,107724981059,400000
llama-1b,input_sweep,256,64,2,2.013887979,107752577485,400000
llama-1b,input_sweep,256,64,2,3.020558428,107780621236,400000
llama-1b,input_sweep,256,64,2,4.027328052,107804100180,4100041
llama-1b,input_sweep,256,64,2,5.034598466,107828299032,4100000
llama-1b,input_sweep,256,64,3,.000851123,107865553148,923397
llama-1b,input_sweep,256,64,3,1.007430625,107883212099,400000
llama-1b,input_sweep,256,64,3,2.014098848,107910604607,4100000
llama-1b,input_sweep,256,64,3,3.021226633,107938704022,4100000
llama-1b,input_sweep,256,64,3,4.028045754,107961914473,400000
llama-1b,input_sweep,256,64,3,5.035594234,107985613082,4100041
llama-1b,input_sweep,256,64,4,.000912727,108024580328,400000
llama-1b,input_sweep,256,64,4,1.007160113,108042160239,400000
llama-1b,input_sweep,256,64,4,2.014254609,108069486708,4100000
llama-1b,input_sweep,256,64,4,3.021086086,108097767641,4099958
llama-1b,input_sweep,256,64,4,4.027747718,108122039735,4105074
llama-1b,input_sweep,256,64,4,5.035210465,108146078003,4099955
llama-1b,input_sweep,256,64,5,.000906250,108187981644,1258339
llama-1b,input_sweep,256,64,5,1.007232230,108205532990,400000
llama-1b,input_sweep,256,64,5,2.013946939,108233526022,4100000
llama-1b,input_sweep,256,64,5,3.020645484,108261460459,400000
llama-1b,input_sweep,256,64,5,4.027914018,108284668896,4089432
llama-1b,input_sweep,256,64,5,5.035172402,108307800551,4698739
llama-1b,input_sweep,384,64,1,.000894508,108351826256,400000
llama-1b,input_sweep,384,64,1,1.006918750,108369387795,400000
llama-1b,input_sweep,384,64,1,2.014228486,108397183562,4100000
llama-1b,input_sweep,384,64,1,3.021397979,108424984577,4101031
llama-1b,input_sweep,384,64,1,4.027874507,108452847909,400000
llama-1b,input_sweep,384,64,1,5.035167000,108476368051,3965453
llama-1b,input_sweep,384,64,1,6.042090477,108499716441,4100041
llama-1b,input_sweep,384,64,2,.000871194,108535913065,3670004
llama-1b,input_sweep,384,64,2,1.007219918,108553436091,1052006
llama-1b,input_sweep,384,64,2,2.014192761,108581685164,4099958
llama-1b,input_sweep,384,64,2,3.021452178,108610480318,4099958
llama-1b,input_sweep,384,64,2,4.028052467,108637566064,4099955
llama-1b,input_sweep,384,64,2,5.035088564,108662034324,4100000
llama-1b,input_sweep,384,64,2,6.042560375,108685457360,4100000
llama-1b,input_sweep,384,64,3,.000928172,108719174375,400000
llama-1b,input_sweep,384,64,3,1.006921642,108739255867,400000
llama-1b,input_sweep,384,64,3,2.014120222,108770326893,1078314
llama-1b,input_sweep,384,64,3,3.020902652,108801915863,4100000
llama-1b,input_sweep,384,64,3,4.027966712,108833837717,767483
llama-1b,input_sweep,384,64,3,5.034451660,108864712455,1005977
llama-1b,input_sweep,384,64,3,6.041607918,108895258336,4099206
llama-1b,input_sweep,384,64,3,7.049172052,108925695819,4100000
llama-1b,input_sweep,384,64,4,.000860769,108974266008,400000
llama-1b,input_sweep,384,64,4,1.006990484,108991916719,400000
llama-1b,input_sweep,384,64,4,2.014098891,109019576805,4100000
llama-1b,input_sweep,384,64,4,3.021106835,109047295789,4100000
llama-1b,input_sweep,384,64,4,4.028117048,109075393068,931123
llama-1b,input_sweep,384,64,4,5.035682493,109099004458,4100000
llama-1b,input_sweep,384,64,4,6.043008660,109123196351,4101539
llama-1b,input_sweep,384,64,5,.000867704,109161744776,400000
llama-1b,input_sweep,384,64,5,1.006946278,109180755652,4100000
llama-1b,input_sweep,384,64,5,2.013688470,109224798142,4100000
llama-1b,input_sweep,384,64,5,3.020250734,109254153353,4103924
llama-1b,input_sweep,384,64,5,4.027068754,109282177329,400000
llama-1b,input_sweep,384,64,5,5.033746867,109305865134,4100000
llama-1b,input_sweep,384,64,5,6.040759881,109329152123,400000
llama-1b,input_sweep,512,64,1,.000903393,109374567778,400000
llama-1b,input_sweep,512,64,1,1.007096685,109392408980,1137369
llama-1b,input_sweep,512,64,1,2.014531299,109420338413,4100000
llama-1b,input_sweep,512,64,1,3.021348827,109448550377,4100000
llama-1b,input_sweep,512,64,1,4.028088637,109476649975,4100041
llama-1b,input_sweep,512,64,1,5.034996028,109504106875,4100000
llama-1b,input_sweep,512,64,1,6.042144256,109527551212,4100045
llama-1b,input_sweep,512,64,1,7.049549241,109551437931,4255163
llama-1b,input_sweep,512,64,2,.000886834,109587816683,2322433
llama-1b,input_sweep,512,64,2,1.007366420,109605776415,400000
llama-1b,input_sweep,512,64,2,2.014431087,109633689002,4100000
llama-1b,input_sweep,512,64,2,3.021652221,109661221158,4100041
llama-1b,input_sweep,512,64,2,4.028475624,109689487870,4100041
llama-1b,input_sweep,512,64,2,5.035579281,109717061836,4053908
llama-1b,input_sweep,512,64,2,6.042883515,109741165839,4099956
llama-1b,input_sweep,512,64,2,7.050330413,109764677497,4100000
llama-1b,input_sweep,512,64,3,.000831361,109800619910,454511
llama-1b,input_sweep,512,64,3,1.006654251,109818194206,400000
llama-1b,input_sweep,512,64,3,2.013590264,109845213485,4100041
llama-1b,input_sweep,512,64,3,3.020416133,109873417697,4099958
llama-1b,input_sweep,512,64,3,4.027595602,109901498253,4099958
llama-1b,input_sweep,512,64,3,5.034587839,109928584793,4100000
llama-1b,input_sweep,512,64,3,6.042122002,109952136612,4100000
llama-1b,input_sweep,512,64,3,7.049474655,109975720719,400000
llama-1b,input_sweep,512,64,4,.000885535,110012255477,400000
llama-1b,input_sweep,512,64,4,1.007338018,110030707212,400000
llama-1b,input_sweep,512,64,4,2.014506651,110058612353,4100000
llama-1b,input_sweep,512,64,4,3.021311695,110086846045,400000
llama-1b,input_sweep,512,64,4,4.028252373,110114296292,400000
llama-1b,input_sweep,512,64,4,5.035261270,110141971026,4100000
llama-1b,input_sweep,512,64,4,6.042500008,110165700885,4100000
llama-1b,input_sweep,512,64,4,7.049508996,110189935320,4100000
llama-1b,input_sweep,512,64,5,.000859184,110224928577,400000
llama-1b,input_sweep,512,64,5,1.006992514,110242515080,400000
llama-1b,input_sweep,512,64,5,2.014058264,110270503839,4100000
llama-1b,input_sweep,512,64,5,3.020895941,110298418929,4100041
llama-1b,input_sweep,512,64,5,4.027644120,110326132176,4099958
llama-1b,input_sweep,512,64,5,5.035279737,110353675562,4100000
llama-1b,input_sweep,512,64,5,6.042647340,110378135338,4100000
llama-1b,input_sweep,512,64,5,7.049712666,110402217674,4070190
llama-1b,input_sweep,768,64,1,.000884057,110440170763,400000
llama-1b,input_sweep,768,64,1,1.007102571,110457807071,400000
llama-1b,input_sweep,768,64,1,2.014380547,110485013239,4099958
llama-1b,input_sweep,768,64,1,3.021158807,110513068831,4099958
