model,sweep_type,input_tokens_requested,output_tokens_requested,run,elapsed_s,energy_uj,cpu_freq_khz
llama-3b,input_sweep,128,64,1,.000802100,143956946654,616292
llama-3b,input_sweep,128,64,1,1.006313851,143977187386,1993331
llama-3b,input_sweep,128,64,1,2.012733969,143996970722,400000
llama-3b,input_sweep,128,64,1,3.019218420,144025179817,400000
llama-3b,input_sweep,128,64,1,4.025852437,144053657894,400000
llama-3b,input_sweep,128,64,1,5.032437498,144081962814,4100041
llama-3b,input_sweep,128,64,1,6.038695280,144107090008,4100000
llama-3b,input_sweep,128,64,1,7.045574347,144130751324,4100000
llama-3b,input_sweep,128,64,1,8.052940427,144154135175,4100000
llama-3b,input_sweep,128,64,1,9.059366389,144177696394,4099955
llama-3b,input_sweep,128,64,1,10.066297704,144201205551,4099955
llama-3b,input_sweep,128,64,1,11.073237296,144225209823,928522
llama-3b,output_sweep,512,8,1,.000808931,144264580754,400000
llama-3b,output_sweep,512,8,1,1.006581347,144284504043,400000
llama-3b,output_sweep,512,8,1,2.013427462,144304020473,4100041
llama-3b,output_sweep,512,8,1,3.020088807,144331598710,4100000
llama-3b,output_sweep,512,8,1,4.026651216,144359629217,4100000
llama-3b,output_sweep,512,8,1,5.034110694,144387434078,4100000
llama-3b,output_sweep,512,8,1,6.040775577,144416240156,4100000
llama-3b,output_sweep,512,8,1,7.047546288,144444673738,4100041
llama-3b,output_sweep,512,8,1,8.054589072,144473326497,3928685
llama-3b,output_sweep,512,8,1,9.061939313,144501901192,4100000
llama-3b,output_sweep,512,8,1,10.068557124,144530198116,400000
llama-3b,output_sweep,512,8,1,11.075149327,144559065230,400000
llama-3b,output_sweep,512,8,1,12.082221530,144587948579,400000
llama-3b,output_sweep,512,8,1,13.089273906,144616534077,4105144
