model,sweep_type,input_tokens_requested,output_tokens_requested,input_tokens_actual,output_tokens_actual,prefill_tokens_per_sec,decode_tokens_per_sec,cpu_freq_khz,timestamp,run,energy_joules,wall_seconds,run_ok
qwen-coder-1.5b,input_sweep,128,64,103,63,83.0,21.8,400000,2026-09-17T10:51:08+08:00,1,132.6557,6.043303611,1
qwen-coder-1.5b,input_sweep,128,64,103,63,84.4,21.5,400000,2026-09-17T10:51:22+08:00,2,131.4421,6.043496059,1
qwen-coder-1.5b,input_sweep,128,64,103,63,83.8,22.3,400000,2026-09-17T10:51:37+08:00,3,129.3716,6.043380741,1
qwen-coder-1.5b,input_sweep,128,64,103,63,86.7,21.7,400000,2026-09-17T10:51:51+08:00,4,127.6211,6.044498145,1
qwen-coder-1.5b,input_sweep,128,64,103,63,83.0,23.4,400000,2026-09-17T10:52:05+08:00,5,126.8725,6.043220403,1
qwen-coder-1.5b,input_sweep,256,64,210,63,85.6,22.3,3123785,2026-09-17T10:52:20+08:00,1,161.2415,7.051357676,1
qwen-coder-1.5b,input_sweep,256,64,210,63,83.8,22.5,1939240,2026-09-17T10:52:35+08:00,2,162.0231,7.052049102,1
qwen-coder-1.5b,input_sweep,256,64,210,63,85.0,20.8,400000,2026-09-17T10:52:50+08:00,3,165.5580,7.050850390,1
qwen-coder-1.5b,input_sweep,256,64,210,63,84.8,21.9,400000,2026-09-17T10:53:06+08:00,4,162.1202,7.051929483,1
qwen-coder-1.5b,input_sweep,256,64,210,63,86.9,22.1,400000,2026-09-17T10:53:21+08:00,5,160.5855,7.052595073,1
qwen-coder-1.5b,input_sweep,384,64,315,63,83.9,22.6,400000,2026-09-17T10:53:36+08:00,1,195.5375,8.057451184,1
qwen-coder-1.5b,input_sweep,384,64,315,63,85.0,22.2,400000,2026-09-17T10:53:53+08:00,2,196.6146,8.058680341,1
