model,sweep_type,input_tokens_requested,output_tokens_requested,run,elapsed_s,energy_uj,cpu_freq_khz
qwen-coder-1.5b,input_sweep,128,64,1,.000830432,231878196856,400000
qwen-coder-1.5b,input_sweep,128,64,1,1.007010575,231896147372,400000
qwen-coder-1.5b,input_sweep,128,64,1,2.013647317,231923738365,4099958
qwen-coder-1.5b,input_sweep,128,64,1,3.020598301,231949804949,4099958
qwen-coder-1.5b,input_sweep,128,64,1,4.027832144,231974690017,4100041
qwen-coder-1.5b,input_sweep,128,64,1,5.034499142,231999617139,4099957
qwen-coder-1.5b,input_sweep,128,64,2,.000840788,232035740642,400000
qwen-coder-1.5b,input_sweep,128,64,2,1.007503473,232053654293,400000
qwen-coder-1.5b,input_sweep,128,64,2,2.014229401,232081203966,4114915
qwen-coder-1.5b,input_sweep,128,64,2,3.021171413,232107086895,4100045
qwen-coder-1.5b,input_sweep,128,64,2,4.028168056,232131116192,4100000
qwen-coder-1.5b,input_sweep,128,64,2,5.035257559,232155435831,4138638
qwen-coder-1.5b,input_sweep,128,64,3,.000883546,232190995860,400000
qwen-coder-1.5b,input_sweep,128,64,3,1.006998682,232208808009,400000
qwen-coder-1.5b,input_sweep,128,64,3,2.013730968,232236675309,4100000
qwen-coder-1.5b,input_sweep,128,64,3,3.020262559,232261807141,4099530
qwen-coder-1.5b,input_sweep,128,64,3,4.027440326,232286165233,4100000
qwen-coder-1.5b,input_sweep,128,64,3,5.034541419,232310676096,4099958
qwen-coder-1.5b,input_sweep,128,64,4,.000887343,232344805159,400000
qwen-coder-1.5b,input_sweep,128,64,4,1.007196124,232362674559,400000
qwen-coder-1.5b,input_sweep,128,64,4,2.014464288,232390805285,4105616
qwen-coder-1.5b,input_sweep,128,64,4,3.021141914,232416149336,4100000
qwen-coder-1.5b,input_sweep,128,64,4,4.028750793,232439313462,4100000
qwen-coder-1.5b,input_sweep,128,64,4,5.036199830,232462573168,4100000
qwen-coder-1.5b,input_sweep,128,64,5,.000812922,232496979818,400000
qwen-coder-1.5b,input_sweep,128,64,5,1.006868386,232514912389,400120
qwen-coder-1.5b,input_sweep,128,64,5,2.013858658,232542318264,4100041
qwen-coder-1.5b,input_sweep,128,64,5,3.020407567,232568254294,4101984
qwen-coder-1.5b,input_sweep,128,64,5,4.027301308,232592172262,4099771
qwen-coder-1.5b,input_sweep,128,64,5,5.034326637,232616948749,4100000
qwen-coder-1.5b,input_sweep,256,64,1,.000812938,232651594840,2584335
qwen-coder-1.5b,input_sweep,256,64,1,1.006888412,232669566534,400113
qwen-coder-1.5b,input_sweep,256,64,1,2.014260017,232697561702,4099958
qwen-coder-1.5b,input_sweep,256,64,1,3.021228296,232724918688,4099958
qwen-coder-1.5b,input_sweep,256,64,1,4.027919168,232751586344,4100000
qwen-coder-1.5b,input_sweep,256,64,1,5.035342706,232774677837,400000
qwen-coder-1.5b,input_sweep,256,64,1,6.042616891,232799017131,4100000
qwen-coder-1.5b,input_sweep,256,64,2,.000979296,232837163517,1939240
qwen-coder-1.5b,input_sweep,256,64,2,1.007541839,232855190327,400000
qwen-coder-1.5b,input_sweep,256,64,2,2.014658144,232882472422,4100000
qwen-coder-1.5b,input_sweep,256,64,2,3.021429355,232910327698,4100000
qwen-coder-1.5b,input_sweep,256,64,2,4.028431117,232936784234,4100000
qwen-coder-1.5b,input_sweep,256,64,2,5.035984364,232960598870,4100000
qwen-coder-1.5b,input_sweep,256,64,2,6.043392897,232984567925,400000
qwen-coder-1.5b,input_sweep,256,64,3,.000849807,233023078813,400000
qwen-coder-1.5b,input_sweep,256,64,3,1.006669872,233040949067,400000
qwen-coder-1.5b,input_sweep,256,64,3,2.014289087,233068182884,4201202
qwen-coder-1.5b,input_sweep,256,64,3,3.021124429,233096083387,400000
qwen-coder-1.5b,input_sweep,256,64,3,4.028124698,233122502692,400000
qwen-coder-1.5b,input_sweep,256,64,3,5.035554758,233146433783,4100951
qwen-coder-1.5b,input_sweep,256,64,3,6.042541122,233169962958,400000
qwen-coder-1.5b,input_sweep,256,64,4,.000824341,233213749528,934765
qwen-coder-1.5b,input_sweep,256,64,4,1.007659121,233231780183,400000
qwen-coder-1.5b,input_sweep,256,64,4,2.015019869,233259305076,4100000
qwen-coder-1.5b,input_sweep,256,64,4,3.022198597,233286250991,4100000
qwen-coder-1.5b,input_sweep,256,64,4,4.028634652,233312994330,4100000
qwen-coder-1.5b,input_sweep,256,64,4,5.035803740,233336898139,400000
qwen-coder-1.5b,input_sweep,256,64,4,6.042915430,233360541145,4100000
qwen-coder-1.5b,input_sweep,256,64,5,.000935074,233399865263,400000
qwen-coder-1.5b,input_sweep,256,64,5,1.007106267,233417606062,400000
qwen-coder-1.5b,input_sweep,256,64,5,2.014048589,233445208653,4100041
qwen-coder-1.5b,input_sweep,256,64,5,3.021318917,233473509422,4112023
qwen-coder-1.5b,input_sweep,256,64,5,4.028174694,233499971635,4100000
qwen-coder-1.5b,input_sweep,256,64,5,5.035886201,233523670061,400000
qwen-coder-1.5b,input_sweep,256,64,5,6.043708463,233547383867,400000
qwen-coder-1.5b,input_sweep,384,64,1,.000963457,233588329624,2334851
qwen-coder-1.5b,input_sweep,384,64,1,1.007529605,233606407581,400000
qwen-coder-1.5b,input_sweep,384,64,1,2.014218128,233632680158,4100041
qwen-coder-1.5b,input_sweep,384,64,1,3.021040350,233660868623,4100000
qwen-coder-1.5b,input_sweep,384,64,1,4.027891932,233688762961,4100000
qwen-coder-1.5b,input_sweep,384,64,1,5.034498706,233716341992,4100000
qwen-coder-1.5b,input_sweep,384,64,1,6.041783828,233739745863,4100000
qwen-coder-1.5b,input_sweep,384,64,1,7.048944730,233764116284,4099913
qwen-coder-1.5b,input_sweep,384,64,2,.000846014,233808118978,400000
qwen-coder-1.5b,input_sweep,384,64,2,1.007407254,233826491368,487976
qwen-coder-1.5b,input_sweep,384,64,2,2.014790946,233854227198,4101733
qwen-coder-1.5b,input_sweep,384,64,2,3.021358249,233881849197,400000
qwen-coder-1.5b,input_sweep,384,64,2,4.028338576,233909929448,400000
qwen-coder-1.5b,input_sweep,384,64,2,5.035349941,233937195858,4097737
qwen-coder-1.5b,input_sweep,384,64,2,6.042425118,233961096126,4100000
qwen-coder-1.5b,input_sweep,384,64,2,7.049728920,233985189326,4100000
qwen-coder-1.5b,input_sweep,384,64,3,.000912728,234029228398,400000
qwen-coder-1.5b,input_sweep,384,64,3,1.007407444,234047341450,400000
qwen-coder-1.5b,input_sweep,384,64,3,2.014461563,234074956064,4100000
qwen-coder-1.5b,input_sweep,384,64,3,3.021274134,234102466431,4240701
qwen-coder-1.5b,input_sweep,384,64,3,4.027743417,234130849231,4099958
qwen-coder-1.5b,input_sweep,384,64,3,5.034520747,234158248148,4100000
qwen-coder-1.5b,input_sweep,384,64,3,6.041921196,234182069681,4221810
qwen-coder-1.5b,input_sweep,384,64,3,7.049332253,234205939982,400000
qwen-coder-1.5b,input_sweep,384,64,4,.000884994,234250782152,400000
qwen-coder-1.5b,input_sweep,384,64,4,1.007294124,234268676271,400000
qwen-coder-1.5b,input_sweep,384,64,4,2.014421003,234296512626,400000
qwen-coder-1.5b,input_sweep,384,64,4,3.021062248,234324123151,400000
qwen-coder-1.5b,input_sweep,384,64,4,4.027893043,234352105379,400000
qwen-coder-1.5b,input_sweep,384,64,4,5.034418194,234380382894,4005578
qwen-coder-1.5b,input_sweep,384,64,4,6.041616351,234406581985,4100000
qwen-coder-1.5b,input_sweep,384,64,4,7.048803660,234433700263,400000
qwen-coder-1.5b,input_sweep,384,64,5,.000811269,234548091694,773170
qwen-coder-1.5b,input_sweep,384,64,5,1.007606778,234566001926,400000
qwen-coder-1.5b,input_sweep,384,64,5,2.014566086,234593767480,4100000
