model,sweep_type,input_tokens_requested,output_tokens_requested,run,elapsed_s,energy_uj,cpu_freq_khz
qwen-coder-1.5b,input_sweep,128,64,1,.000815486,220342198984,400000
qwen-coder-1.5b,input_sweep,128,64,1,1.006673777,220361239889,400000
qwen-coder-1.5b,input_sweep,128,64,1,2.013071198,220389227306,4099958
qwen-coder-1.5b,input_sweep,128,64,1,3.019256429,220415238714,4700000
qwen-coder-1.5b,input_sweep,128,64,1,4.026309157,220439372319,4100000
qwen-coder-1.5b,input_sweep,128,64,1,5.033719294,220463392521,4100046
qwen-coder-1.5b,output_sweep,512,8,1,.000842208,220500776458,688128
qwen-coder-1.5b,output_sweep,512,8,1,1.007440187,220518560226,400000
qwen-coder-1.5b,output_sweep,512,8,1,2.014116824,220546348424,4099958
qwen-coder-1.5b,output_sweep,512,8,1,3.020743874,220574583520,4102447
qwen-coder-1.5b,output_sweep,512,8,1,4.027669355,220602979383,400000
qwen-coder-1.5b,output_sweep,512,8,1,5.034572526,220631241945,400000
qwen-coder-1.5b,output_sweep,512,8,1,6.041682286,220659686818,4100000
