model,strategy,run,elapsed_s,energy_uj,cpu_freq_khz
llama-1b,greedy,1,.000794266,98753961483,962590
llama-1b,greedy,1,1.006864526,98772002269,400000
llama-1b,greedy,1,2.013736478,98799901185,4100041
llama-1b,greedy,1,3.020039778,98827837576,4099958
llama-1b,greedy,1,4.026537115,98855945658,4100041
llama-1b,greedy,1,5.033370034,98882881502,400000
llama-1b,greedy,1,6.039942594,98906956514,4100000
llama-1b,greedy,1,7.046628832,98930740450,4100000
llama-1b,greedy,1,8.053577231,98955110748,4100000
llama-1b,greedy,1,9.060321830,98978947174,4095484
llama-1b,greedy,1,10.067347817,99002325105,400000
llama-1b,greedy,1,11.074358543,99025777316,4100000
llama-1b,greedy,1,12.081720245,99049883028,4100000
llama-1b,greedy,1,13.088547864,99073775972,4100000
llama-1b,greedy,1,14.095264288,99097623933,4100000
llama-1b,greedy,2,.000978428,99149743734,400000
llama-1b,greedy,2,1.006692847,99167259925,400000
llama-1b,greedy,2,2.013883011,99194971890,4099563
llama-1b,greedy,2,3.020096548,99223107377,3817653
llama-1b,greedy,2,4.026910682,99251465642,3645470
llama-1b,greedy,2,5.034297289,99279042964,4163582
llama-1b,greedy,2,6.041387974,99303000666,2452670
llama-1b,greedy,2,7.049217399,99326582942,4096406
llama-1b,greedy,2,8.056443708,99350843317,4104170
llama-1b,greedy,2,9.063536364,99374198787,4100000
llama-1b,greedy,2,10.070743348,99397643734,4100000
llama-1b,greedy,2,11.078024380,99421187924,4100000
llama-1b,greedy,2,12.085434975,99444695188,4100000
llama-1b,greedy,2,13.092251003,99468437376,4100000
llama-1b,greedy,2,14.098927226,99492237120,4082302
llama-1b,greedy,2,15.105478268,99515319519,973002
llama-1b,greedy,3,.000959753,99550172335,400000
llama-1b,greedy,3,1.006916529,99568379625,2782942
llama-1b,greedy,3,2.013938516,99596249000,4099958
llama-1b,greedy,3,3.021108018,99624563380,4099958
llama-1b,greedy,3,4.028114616,99652925612,4100041
llama-1b,greedy,3,5.035095441,99680067389,400000
llama-1b,greedy,3,6.042143854,99703895209,4005588
llama-1b,greedy,3,7.049443708,99727518378,4100000
llama-1b,greedy,3,8.057728466,99751826971,4100000
llama-1b,greedy,3,9.064779305,99775086188,4086154
llama-1b,greedy,3,10.071601647,99798767952,4099900
llama-1b,greedy,3,11.078493652,99822676338,4097467
llama-1b,greedy,3,12.085705070,99846142403,3529856
llama-1b,greedy,3,13.092671141,99869609201,400000
llama-1b,greedy,3,14.099504988,99893436960,4100000
llama-1b,greedy,3,15.106904489,99916656200,4700000
llama-1b,greedy,4,.000883499,99950742782,1287708
llama-1b,greedy,4,1.007227076,99968455811,769824
llama-1b,greedy,4,2.013871391,99996562306,4100041
llama-1b,greedy,4,3.020857330,100024873147,4100041
llama-1b,greedy,4,4.027810528,100053034879,4100000
llama-1b,greedy,4,5.034294056,100080332782,4100000
llama-1b,greedy,4,6.041513556,100103954731,4100000
llama-1b,greedy,4,7.048558987,100127643880,4535633
llama-1b,greedy,4,8.055225094,100151999042,4485304
llama-1b,greedy,4,9.061834349,100176725175,4102234
llama-1b,greedy,4,10.069464945,100201130447,4100000
llama-1b,greedy,4,11.076188108,100225231948,4223817
llama-1b,greedy,4,12.082924604,100249377882,4100578
llama-1b,greedy,4,13.090089622,100273734631,4600000
llama-1b,greedy,4,14.097185196,100297584790,400000
llama-1b,greedy,4,15.104265942,100321592236,4104158
llama-1b,greedy,5,.000844596,100366937823,400000
llama-1b,greedy,5,1.006833602,100384677157,400000
llama-1b,greedy,5,2.013587461,100411027431,4100000
llama-1b,greedy,5,3.020490513,100438838518,4099958
llama-1b,greedy,5,4.027295788,100466849981,4099958
llama-1b,greedy,5,5.034019447,100494943293,4100041
llama-1b,greedy,5,6.041242674,100518428524,4100000
llama-1b,greedy,5,7.048342634,100542262752,4599523
llama-1b,greedy,5,8.055477251,100566435969,4104461
llama-1b,greedy,5,9.062810703,100589506711,4101821
llama-1b,greedy,5,10.069732578,100613344113,4100042
llama-1b,greedy,5,11.076732261,100636775572,4031133
llama-1b,greedy,5,12.083740813,100660339843,4099958
llama-1b,greedy,5,13.090775703,100683946044,4099958
llama-1b,greedy,5,14.097919071,100707773071,400000
llama-1b,greedy,5,15.105380656,100731621215,4100000
llama-1b,temperature,1,.000838351,100771477497,400000
llama-1b,temperature,1,1.007174357,100789085668,400000
llama-1b,temperature,1,2.013984943,100816730861,4100041
llama-1b,temperature,1,3.020184379,100844528031,4100000
llama-1b,temperature,1,4.026993429,100873062259,4100000
llama-1b,temperature,1,5.033709123,100900481562,4100000
llama-1b,temperature,1,6.041229429,100924408502,4099958
llama-1b,temperature,1,7.048567299,100948498101,4100041
llama-1b,temperature,1,8.055834630,100972369561,4100000
llama-1b,temperature,1,9.063026268,100996139947,4100000
llama-1b,temperature,1,10.070237935,101019264217,4100000
llama-1b,temperature,1,11.077024402,101042593747,400000
llama-1b,temperature,1,12.084420519,101066081907,4100000
llama-1b,temperature,1,13.091421631,101089659178,4100000
llama-1b,temperature,1,14.098445937,101113288939,400000
llama-1b,temperature,1,15.105458596,101136928955,400000
llama-1b,temperature,2,.000881678,101187579765,400157
llama-1b,temperature,2,1.006725448,101208367920,400104
llama-1b,temperature,2,2.013415555,101240822487,400000
llama-1b,temperature,2,3.019364429,101275761302,4100000
llama-1b,temperature,2,4.025800206,101311793741,4100000
llama-1b,temperature,2,5.031807584,101347742197,400000
llama-1b,temperature,2,6.037907103,101379413075,4100470
llama-1b,temperature,2,7.045453213,101405300521,4100047
llama-1b,temperature,2,8.053332542,101428415635,4100000
llama-1b,temperature,2,9.060013967,101451514880,400000
llama-1b,temperature,2,10.067065716,101474677663,3848549
llama-1b,temperature,2,11.074259448,101498165640,4102340
llama-1b,temperature,2,12.081564833,101522225576,4100000
llama-1b,temperature,2,13.088754646,101546273854,4089378
llama-1b,temperature,2,14.095465630,101570791980,660260
llama-1b,temperature,2,15.102770219,101595445908,4099954
llama-1b,temperature,3,.000898834,101640613944,930867
llama-1b,temperature,3,1.006765216,101658234810,400000
llama-1b,temperature,3,2.013989547,101685810179,4099958
llama-1b,temperature,3,3.020640262,101713765491,400000
llama-1b,temperature,3,4.027680695,101742080115,400000
llama-1b,temperature,3,5.034809134,101769505887,400000
llama-1b,temperature,3,6.042358815,101792906279,4099194
llama-1b,temperature,3,7.049670158,101816284820,3940184
llama-1b,temperature,3,8.056660412,101839046847,4100041
llama-1b,temperature,3,9.063695658,101861922948,4100000
llama-1b,temperature,3,10.071215397,101884945655,4100000
llama-1b,temperature,3,11.078247729,101908297585,4100000
llama-1b,temperature,3,12.085203160,101931693949,4100771
llama-1b,temperature,3,13.092276421,101955117778,399598
llama-1b,temperature,3,14.099274014,101978856365,4100000
llama-1b,temperature,3,15.106663207,102002473309,4100000
llama-1b,temperature,4,.000859979,102039157785,892281
llama-1b,temperature,4,1.006939540,102056658778,1158478
llama-1b,temperature,4,2.013901889,102084717422,4099958
llama-1b,temperature,4,3.020537092,102113004092,4100041
llama-1b,temperature,4,4.027269338,102141280448,4099958
llama-1b,temperature,4,5.033864858,102168394576,4100000
llama-1b,temperature,4,6.042044901,102192100387,4100000
llama-1b,temperature,4,7.049672363,102215525375,4100000
llama-1b,temperature,4,8.056855243,102238559557,4100045
llama-1b,temperature,4,9.063766055,102261728565,400000
llama-1b,temperature,4,10.070810020,102284622244,4101195
llama-1b,temperature,4,11.077865346,102307862724,400000
llama-1b,temperature,4,12.085504244,102331025385,4100000
llama-1b,temperature,4,13.092739321,102354213436,4100000
llama-1b,temperature,4,14.100017335,102377683530,4100046
llama-1b,temperature,4,15.107171450,102401326597,4096471
llama-1b,temperature,5,.000855873,102439209861,400000
llama-1b,temperature,5,1.006993173,102457643469,400000
llama-1b,temperature,5,2.013861251,102487298972,4100000
llama-1b,temperature,5,3.021005149,102515031139,400000
llama-1b,temperature,5,4.027526125,102543141968,400000
llama-1b,temperature,5,5.034219580,102570626639,400000
llama-1b,temperature,5,6.041295608,102594856802,3946137
llama-1b,temperature,5,7.048863730,102617950737,4100000
llama-1b,temperature,5,8.056146704,102640854731,400000
llama-1b,temperature,5,9.063583455,102663588743,400000
llama-1b,temperature,5,10.070837959,102687154051,4077273
llama-1b,temperature,5,11.078107688,102711090025,4100000
llama-1b,temperature,5,12.085288346,102734590575,4307213
llama-1b,temperature,5,13.092593434,102757550050,4099952
llama-1b,temperature,5,14.099566844,102780913638,4092558
llama-1b,temperature,5,15.106570824,102804130802,400000
llama-1b,top_p,1,.000850050,102848203993,860402
llama-1b,top_p,1,1.007363025,102866056120,400000
llama-1b,top_p,1,2.014403444,102893819049,4100000
llama-1b,top_p,1,3.021075124,102921812752,4100000
llama-1b,top_p,1,4.028135914,102948779541,4099958
llama-1b,top_p,1,5.035078993,102976541188,4100045
llama-1b,top_p,1,6.042853347,103000179800,4101106
llama-1b,top_p,1,7.050519103,103023315971,4099953
llama-1b,top_p,1,8.057702221,103046351068,4100046
llama-1b,top_p,1,9.064532724,103069355160,4100000
llama-1b,top_p,1,10.072009613,103092703611,4097516
llama-1b,top_p,1,11.079371592,103115744995,4099954
llama-1b,top_p,1,12.086625658,103139168519,680277
llama-1b,top_p,1,13.094581646,103162514650,4089851
llama-1b,top_p,1,14.102076472,103185934451,4100000
llama-1b,top_p,1,15.109396170,103209561100,4100000
llama-1b,top_p,2,.000903899,103249329797,400000
llama-1b,top_p,2,1.006935808,103266819498,400000
llama-1b,top_p,2,2.014120923,103294378143,400000
llama-1b,top_p,2,3.021118254,103322491719,400000
llama-1b,top_p,2,4.027822413,103350592233,400000
llama-1b,top_p,2,5.034378674,103378011047,4600000
llama-1b,top_p,2,6.041696864,103401755554,4700000
llama-1b,top_p,2,7.048964742,103424970582,4100000
llama-1b,top_p,2,8.056272207,103447783940,4100045
llama-1b,top_p,2,9.064187574,103470644294,400000
llama-1b,top_p,2,10.070997768,103494264167,4100000
llama-1b,top_p,2,11.078228153,103517480661,4100047
llama-1b,top_p,2,12.085245967,103541428902,4100000
llama-1b,top_p,2,13.092759310,103565727974,4100000
llama-1b,top_p,2,14.100420493,103589766852,4100000
llama-1b,top_p,2,15.107768008,103613769721,4100000
llama-1b,top_p,3,.000797887,103650426548,1296289
llama-1b,top_p,3,1.007039278,103667599478,400000
llama-1b,top_p,3,2.014266197,103695336467,4100041
llama-1b,top_p,3,3.020696751,103723499848,4099958
llama-1b,top_p,3,4.027523881,103751626240,4099958
llama-1b,top_p,3,5.034147361,103778651562,3844796
llama-1b,top_p,3,6.041350711,103801839857,4098785
llama-1b,top_p,3,7.048713058,103825108718,400000
llama-1b,top_p,3,8.056160934,103847859698,400000
llama-1b,top_p,3,9.063455383,103870703328,3666628
llama-1b,top_p,3,10.070650885,103893415367,4094963
llama-1b,top_p,3,11.077976674,103917658469,4100000
llama-1b,top_p,3,12.084880772,103942037313,4100000
llama-1b,top_p,3,13.092031387,103966430622,579409
llama-1b,top_p,3,14.099348469,103990542255,4100000
llama-1b,top_p,3,15.106377837,104014164753,4100000
llama-1b,top_p,4,.000905710,104049911304,400000
llama-1b,top_p,4,1.007445547,104067635197,400000
llama-1b,top_p,4,2.014375456,104095510004,4100000
llama-1b,top_p,4,3.021475589,104123418990,4100000
llama-1b,top_p,4,4.028611415,104151302524,4700000
llama-1b,top_p,4,5.035190107,104178557948,4100047
llama-1b,top_p,4,6.042589515,104202178920,4087492
llama-1b,top_p,4,7.049907472,104225938991,4100000
llama-1b,top_p,4,8.057384339,104250064051,3869130
llama-1b,top_p,4,9.064686681,104273437466,3421260
llama-1b,top_p,4,10.072413645,104296988431,400000
llama-1b,top_p,4,11.079734176,104320358854,4100523
llama-1b,top_p,4,12.086886977,104344266752,4099957
llama-1b,top_p,4,13.094295310,104368089140,4041130
llama-1b,top_p,4,14.100893770,104392217069,4100000
llama-1b,top_p,5,.000835643,104445821729,400000
llama-1b,top_p,5,1.006855644,104464299526,400000
llama-1b,top_p,5,2.014079969,104491839616,4046720
llama-1b,top_p,5,3.020902353,104519723700,2955096
llama-1b,top_p,5,4.028260362,104547436703,4099291
llama-1b,top_p,5,5.035317797,104575384508,400000
llama-1b,top_p,5,6.042470418,104598789538,4099828
llama-1b,top_p,5,7.049701501,104622172901,4098924
llama-1b,top_p,5,8.057158862,104645824635,4099444
llama-1b,top_p,5,9.063855884,104669510182,400000
llama-1b,top_p,5,10.071023975,104693355763,4104128
llama-1b,top_p,5,11.078198382,104717115773,400000
llama-1b,top_p,5,12.085623261,104743769697,4118634
llama-1b,top_p,5,13.093012629,104767487653,4108760
llama-1b,top_p,5,14.100176954,104791421247,4178181
llama-1b,top_p,5,15.107436337,104815234724,4099531
