model,strategy,output_budget,input_tokens_actual,output_tokens_actual,think_tokens,answer_tokens,hit_budget,contains_return,has_code,syntax_ok,passes_tests,prefill_tokens_per_sec,decode_tokens_per_sec,cpu_freq_khz,timestamp,run,energy_joules,wall_seconds,run_ok
llama-3b,greedy,256,422,256,0,256,1,1,1,0,0,40.2,8.7,400000,2026-09-17T09:15:54+08:00,1,864.0828,43.335524021,1
llama-3b,greedy,256,422,256,0,256,1,1,1,0,0,40.7,8.5,400000,2026-09-17T09:16:46+08:00,2,838.2815,43.354940180,1
llama-3b,greedy,256,422,256,0,256,1,1,1,0,0,40.8,8.3,400000,2026-09-17T09:17:38+08:00,3,841.4908,44.366544204,1
llama-3b,greedy,256,422,256,0,256,1,1,1,0,0,40.7,8.2,400000,2026-09-17T09:18:31+08:00,4,845.4413,44.365437028,1
llama-3b,greedy,256,422,256,0,256,1,1,1,0,0,40.0,8.2,400000,2026-09-17T09:19:24+08:00,5,836.8921,44.370434491,1
llama-3b,temperature,256,422,256,0,255,1,1,1,0,0,40.6,8.3,400000,2026-09-17T09:20:17+08:00,1,833.1965,44.369064945,1
llama-3b,temperature,256,422,256,0,256,1,1,1,1,1,40.2,8.2,400000,2026-09-17T09:21:10+08:00,2,819.8143,45.386629660,1
llama-3b,temperature,256,422,256,0,256,1,1,1,1,1,40.5,8.2,400000,2026-09-17T09:22:04+08:00,3,845.5659,45.380865810,1
llama-3b,temperature,256,422,256,0,256,1,0,1,1,1,40.5,8.4,400000,2026-09-17T09:22:58+08:00,4,832.1597,44.374870983,1
llama-3b,temperature,256,422,255,0,255,1,0,1,1,0,40.2,8.3,400000,2026-09-17T09:23:51+08:00,5,831.5987,44.371733866,1
llama-3b,top_p,256,422,256,0,256,1,0,1,0,0,35.0,8.1,400000,2026-09-17T09:24:44+08:00,1,773.8200,46.418768719,1
llama-3b,top_p,256,422,256,0,256,1,1,1,0,0,40.7,8.4,487834,2026-09-17T09:25:39+08:00,2,853.9860,44.369039927,1
llama-3b,top_p,256,422,256,0,256,1,0,1,1,0,40.1,8.2,400000,2026-09-17T09:26:32+08:00,3,818.6498,45.389845859,1
llama-3b,top_p,256,422,256,0,256,1,0,1,1,1,41.0,8.1,400000,2026-09-17T09:27:26+08:00,4,828.8241,44.368901544,1
llama-3b,top_p,256,422,256,0,256,1,1,1,0,0,39.6,8.1,400000,2026-09-17T09:28:19+08:00,5,811.3112,45.391102839,1
llama-3b,top_k,256,422,256,0,256,1,1,1,1,1,40.5,8.3,400000,2026-09-17T09:29:13+08:00,1,811.3129,44.384246271,1
llama-3b,top_k,256,422,256,0,256,1,1,1,1,1,35.5,8.2,400000,2026-09-17T09:30:06+08:00,2,769.1924,46.412134247,1
llama-3b,top_k,256,422,256,0,256,1,0,1,1,1,40.6,8.3,400000,2026-09-17T09:31:01+08:00,3,841.3791,44.368895686,1
llama-3b,top_k,256,422,256,0,254,1,0,1,1,0,34.9,8.3,400000,2026-09-17T09:31:54+08:00,4,769.7257,46.414771774,1
llama-3b,top_k,256,422,256,0,256,1,1,1,1,1,39.9,8.3,2169997,2026-09-17T09:32:49+08:00,5,842.1445,44.368935243,1
