model,strategy,run,elapsed_s,energy_uj,cpu_freq_khz
llama-3b,greedy,1,.000803623,142930275149,400000
llama-3b,greedy,1,1.006354658,142950708019,400000
llama-3b,greedy,1,2.013199522,142972526994,400000
llama-3b,greedy,1,3.019538756,143001187749,4100000
llama-3b,greedy,1,4.026255792,143029301995,4100000
llama-3b,greedy,1,5.032688678,143057770184,4099958
llama-3b,greedy,1,6.039351672,143086730803,4100000
llama-3b,greedy,1,7.045860534,143115098407,4100000
llama-3b,greedy,1,8.052420991,143143841314,4099958
llama-3b,greedy,1,9.059037397,143171630672,4099958
llama-3b,greedy,1,10.065656284,143200225508,400000
llama-3b,greedy,1,11.072059302,143229124299,4100975
llama-3b,greedy,1,12.078317736,143257835712,400000
llama-3b,greedy,1,13.084811621,143286782843,400000
llama-3b,greedy,1,14.091769167,143311246464,4100000
llama-3b,greedy,1,15.098582725,143335073674,4100000
llama-3b,greedy,1,16.105495689,143358768132,4100046
llama-3b,greedy,1,17.112060705,143382569341,4068045
llama-3b,greedy,1,18.119050581,143406658268,3976974
llama-3b,greedy,1,19.126041193,143430433049,4100000
llama-3b,greedy,1,20.133154228,143452769051,3857110
llama-3b,greedy,1,21.140891523,143476253122,565549
llama-3b,greedy,1,22.147505440,143498271803,4100000
llama-3b,greedy,1,23.154025729,143521453751,4100000
llama-3b,greedy,1,24.160893337,143544368914,4100000
llama-3b,greedy,1,25.167906188,143567216634,4099958
llama-3b,greedy,1,26.174604329,143590043663,4556869
llama-3b,greedy,1,27.181789018,143612976710,4100000
llama-3b,greedy,1,28.188661528,143635852750,4328424
llama-3b,greedy,1,29.195210829,143658944426,4100000
llama-3b,greedy,1,30.201857165,143681815462,4100000
llama-3b,greedy,1,31.208623901,143704813694,4098784
llama-3b,greedy,1,32.215377605,143727507483,400000
llama-3b,greedy,1,33.222079926,143750708108,4100042
llama-3b,greedy,1,34.229012144,143773763041,4100490
llama-3b,greedy,1,35.236081095,143796894574,4099209
llama-3b,greedy,1,36.242802412,143820110518,4691218
llama-3b,greedy,1,37.249822021,143843379257,4094496
llama-3b,greedy,1,38.256672853,143866541063,4100000
llama-3b,greedy,1,39.263509291,143889478565,4100041
llama-3b,greedy,1,40.270350525,143912232596,4100000
