model,strategy,output_budget,input_tokens_actual,output_tokens_actual,think_tokens,answer_tokens,hit_budget,contains_return,has_code,syntax_ok,passes_tests,prefill_tokens_per_sec,decode_tokens_per_sec,cpu_freq_khz,timestamp,run,energy_joules,wall_seconds,run_ok
qwen-coder-1.5b,greedy,256,421,255,0,255,1,1,1,1,1,86.0,17.8,400000,2026-09-17T10:41:21+08:00,1,389.1438,21.172984766,1
qwen-coder-1.5b,greedy,256,421,255,0,255,1,1,1,1,1,85.6,18.5,400000,2026-09-17T10:41:51+08:00,2,381.4388,20.170130340,1
qwen-coder-1.5b,greedy,256,421,255,0,255,1,1,1,1,1,84.7,20.6,400000,2026-09-17T10:42:20+08:00,3,447.0085,19.137658891,1
qwen-coder-1.5b,greedy,256,421,255,0,255,1,1,1,1,1,84.8,18.3,400000,2026-09-17T10:42:47+08:00,4,382.8933,21.177089254,1
qwen-coder-1.5b,greedy,256,421,255,0,255,1,1,1,1,1,86.1,18.6,400000,2026-09-17T10:43:17+08:00,5,382.4172,20.167561910,1
qwen-coder-1.5b,temperature,256,421,255,0,255,1,1,1,1,1,85.2,17.7,400000,2026-09-17T10:43:46+08:00,1,380.9351,21.179892027,1
qwen-coder-1.5b,temperature,256,421,255,0,255,1,1,1,1,1,86.2,18.3,400000,2026-09-17T10:44:16+08:00,2,386.0750,21.175615273,1
qwen-coder-1.5b,temperature,256,421,255,0,255,1,1,1,1,1,85.2,17.9,915698,2026-09-17T10:44:45+08:00,3,393.1800,21.176461784,1
qwen-coder-1.5b,temperature,256,421,255,0,255,1,1,1,1,1,84.4,18.2,400000,2026-09-17T10:45:15+08:00,4,388.9661,21.177236926,1
qwen-coder-1.5b,temperature,256,421,193,0,193,0,1,1,1,1,86.4,18.4,400000,2026-09-17T10:45:45+08:00,5,336.2310,17.140900366,1
qwen-coder-1.5b,top_p,256,421,255,0,255,1,1,1,1,1,85.1,17.7,400000,2026-09-17T10:46:10+08:00,1,390.9773,21.178542766,1
qwen-coder-1.5b,top_p,256,421,255,0,255,1,0,1,1,0,86.5,18.1,400000,2026-09-17T10:46:40+08:00,2,386.8850,21.179183055,1
qwen-coder-1.5b,top_p,256,421,255,0,255,1,1,1,1,1,84.4,17.8,1043838,2026-09-17T10:47:10+08:00,3,393.9933,21.177836686,1
qwen-coder-1.5b,top_p,256,421,255,0,255,1,1,1,1,1,85.1,18.2,400000,2026-09-17T10:47:40+08:00,4,387.5431,21.177743372,1
qwen-coder-1.5b,top_p,256,421,255,0,255,1,1,1,1,1,85.0,18.3,400000,2026-09-17T10:48:09+08:00,5,389.7052,21.178748905,1
qwen-coder-1.5b,top_k,256,421,255,0,255,1,1,1,1,1,85.1,17.1,400000,2026-09-17T10:48:39+08:00,1,405.1302,22.193692904,1
qwen-coder-1.5b,top_k,256,421,255,0,255,1,1,1,1,1,85.3,18.5,400000,2026-09-17T10:49:10+08:00,2,386.8359,20.167455488,1
qwen-coder-1.5b,top_k,256,421,255,0,255,1,1,1,1,1,86.9,18.1,400000,2026-09-17T10:49:39+08:00,3,383.4405,21.175672945,1
qwen-coder-1.5b,top_k,256,421,255,0,255,1,1,1,1,1,85.2,18.1,400000,2026-09-17T10:50:09+08:00,4,391.5167,21.178918511,1
qwen-coder-1.5b,top_k,256,421,255,0,255,1,1,1,1,1,87.6,18.1,400000,2026-09-17T10:50:38+08:00,5,389.2900,21.175204910,1
