model,strategy,run,elapsed_s,energy_uj,cpu_freq_khz
qwen-coder-1.5b,greedy,1,.000815282,223471909599,400000
qwen-coder-1.5b,greedy,1,1.006700802,223490141547,400000
qwen-coder-1.5b,greedy,1,2.013378780,223517946652,4100041
qwen-coder-1.5b,greedy,1,3.020099259,223546000962,4100041
qwen-coder-1.5b,greedy,1,4.026262673,223574121374,400000
qwen-coder-1.5b,greedy,1,5.032976163,223602384485,400000
qwen-coder-1.5b,greedy,1,6.039279150,223630510451,400000
qwen-coder-1.5b,greedy,1,7.045983475,223653929519,4095769
qwen-coder-1.5b,greedy,1,8.053167846,223676829668,3800000
qwen-coder-1.5b,greedy,1,9.061522034,223691883768,3399794
qwen-coder-1.5b,greedy,1,10.070935701,223706304812,3399965
qwen-coder-1.5b,greedy,1,11.080646857,223720926601,3399965
qwen-coder-1.5b,greedy,1,12.089420281,223735522816,400000
qwen-coder-1.5b,greedy,1,13.098908199,223750321118,1803956
qwen-coder-1.5b,greedy,1,14.108174181,223765063024,3400000
qwen-coder-1.5b,greedy,1,15.117697316,223779753477,3500000
qwen-coder-1.5b,greedy,1,16.126532896,223794654806,3400000
qwen-coder-1.5b,greedy,1,17.135522287,223809516218,2670410
qwen-coder-1.5b,greedy,1,18.144340650,223824466497,3500039
qwen-coder-1.5b,greedy,1,19.153358043,223839264494,3499964
qwen-coder-1.5b,greedy,1,20.162467915,223854341238,3499964
qwen-coder-1.5b,greedy,2,.000831799,223892459304,400000
qwen-coder-1.5b,greedy,2,1.007054626,223910229095,400000
qwen-coder-1.5b,greedy,2,2.014355625,223937789632,4100000
qwen-coder-1.5b,greedy,2,3.021232172,223965951181,4099958
qwen-coder-1.5b,greedy,2,4.028280408,223994107298,4100000
qwen-coder-1.5b,greedy,2,5.035177642,224021561146,4105647
qwen-coder-1.5b,greedy,2,6.041667870,224049655801,4103886
qwen-coder-1.5b,greedy,2,7.048270032,224074001686,400000
qwen-coder-1.5b,greedy,2,8.055403449,224098127845,3924425
qwen-coder-1.5b,greedy,2,9.063503604,224114034848,400000
qwen-coder-1.5b,greedy,2,10.073000212,224128365377,3077972
qwen-coder-1.5b,greedy,2,11.082366370,224143031111,400000
qwen-coder-1.5b,greedy,2,12.092122770,224157717353,3400000
qwen-coder-1.5b,greedy,2,13.101613102,224172293060,3400034
qwen-coder-1.5b,greedy,2,14.111020403,224187120537,3400000
qwen-coder-1.5b,greedy,2,15.121266296,224202044571,3402901
qwen-coder-1.5b,greedy,2,16.132147319,224216761269,3400000
qwen-coder-1.5b,greedy,2,17.141713078,224231626038,3403125
qwen-coder-1.5b,greedy,2,18.151137577,224246566552,3400000
qwen-coder-1.5b,greedy,2,19.160399915,224261556137,3399376
qwen-coder-1.5b,greedy,3,.000855556,224302170719,400353
qwen-coder-1.5b,greedy,3,1.007401518,224319884418,400000
qwen-coder-1.5b,greedy,3,2.014242284,224347698617,400000
qwen-coder-1.5b,greedy,3,3.020964635,224375801634,400000
qwen-coder-1.5b,greedy,3,4.028391732,224403819750,4100000
qwen-coder-1.5b,greedy,3,5.035184839,224431846351,4100000
qwen-coder-1.5b,greedy,3,6.041618699,224459567593,4100000
qwen-coder-1.5b,greedy,3,7.048153254,224484061916,4100041
qwen-coder-1.5b,greedy,3,8.055177583,224508115992,4099958
qwen-coder-1.5b,greedy,3,9.062563094,224532065882,4099955
qwen-coder-1.5b,greedy,3,10.069700257,224555653224,4100000
qwen-coder-1.5b,greedy,3,11.076805147,224579304409,4100041
qwen-coder-1.5b,greedy,3,12.084206204,224602506986,4630347
qwen-coder-1.5b,greedy,3,13.090905132,224626380033,4099958
qwen-coder-1.5b,greedy,3,14.098279770,224650247220,4099483
qwen-coder-1.5b,greedy,3,15.105274505,224673645354,3948186
qwen-coder-1.5b,greedy,3,16.112523728,224697071319,4100109
qwen-coder-1.5b,greedy,3,17.119606240,224720614899,400000
qwen-coder-1.5b,greedy,3,18.127018153,224740551982,3402741
qwen-coder-1.5b,greedy,4,.000869622,224779897401,400000
qwen-coder-1.5b,greedy,4,1.007278372,224797826432,400000
qwen-coder-1.5b,greedy,4,2.014687576,224825069160,4099958
qwen-coder-1.5b,greedy,4,3.021477113,224853367794,4100041
qwen-coder-1.5b,greedy,4,4.028225418,224880911852,4100000
qwen-coder-1.5b,greedy,4,5.034908272,224908946204,4100000
qwen-coder-1.5b,greedy,4,6.041562232,224937105739,4100000
qwen-coder-1.5b,greedy,4,7.048429592,224961793420,400000
qwen-coder-1.5b,greedy,4,8.056054905,224982814606,400000
qwen-coder-1.5b,greedy,4,9.065595801,224997349115,3298942
qwen-coder-1.5b,greedy,4,10.075213192,225011670794,3446090
qwen-coder-1.5b,greedy,4,11.084141330,225026238750,3500000
qwen-coder-1.5b,greedy,4,12.093171227,225041081669,3397282
qwen-coder-1.5b,greedy,4,13.101878968,225055710110,3399853
qwen-coder-1.5b,greedy,4,14.111286035,225070462758,3396813
qwen-coder-1.5b,greedy,4,15.120622245,225085312757,3400000
qwen-coder-1.5b,greedy,4,16.129563085,225100185033,3500436
qwen-coder-1.5b,greedy,4,17.139045163,225115030027,3395018
qwen-coder-1.5b,greedy,4,18.148284136,225129998922,3399666
qwen-coder-1.5b,greedy,4,19.157709618,225144885785,3399276
qwen-coder-1.5b,greedy,4,20.166845101,225159684087,3496076
qwen-coder-1.5b,greedy,5,.000834579,225194269509,400000
qwen-coder-1.5b,greedy,5,1.007332128,225212000421,400000
qwen-coder-1.5b,greedy,5,2.013939187,225239640059,4700000
qwen-coder-1.5b,greedy,5,3.020449374,225267482700,400000
qwen-coder-1.5b,greedy,5,4.027547411,225295492211,400000
qwen-coder-1.5b,greedy,5,5.034563222,225323479505,400000
qwen-coder-1.5b,greedy,5,6.041036535,225351820986,4101579
qwen-coder-1.5b,greedy,5,7.047576417,225376175476,400000
qwen-coder-1.5b,greedy,5,8.054863074,225399870972,400000
qwen-coder-1.5b,greedy,5,9.062487358,225418165847,400000
qwen-coder-1.5b,greedy,5,10.072068647,225432573220,3400034
qwen-coder-1.5b,greedy,5,11.081939106,225447035952,3400034
qwen-coder-1.5b,greedy,5,12.091619338,225461692103,3339690
qwen-coder-1.5b,greedy,5,13.100916618,225476451831,3400000
