model,strategy,run,elapsed_s,energy_uj,cpu_freq_khz
qwen-coder-1.5b,greedy,1,.000869809,219857022980,400088
qwen-coder-1.5b,greedy,1,1.006701158,219874809189,813509
qwen-coder-1.5b,greedy,1,2.013070930,219902620580,3227566
qwen-coder-1.5b,greedy,1,3.019587879,219930866724,400000
qwen-coder-1.5b,greedy,1,4.026013432,219958578506,400000
qwen-coder-1.5b,greedy,1,5.032590734,219986570499,4098650
qwen-coder-1.5b,greedy,1,6.038944811,220014577325,400000
qwen-coder-1.5b,greedy,1,7.045205856,220038798881,400000
qwen-coder-1.5b,greedy,1,8.051912604,220063053824,4098845
qwen-coder-1.5b,greedy,1,9.058940657,220086947562,400000
qwen-coder-1.5b,greedy,1,10.065944543,220110748526,400000
qwen-coder-1.5b,greedy,1,11.073095987,220134907400,4100000
qwen-coder-1.5b,greedy,1,12.080195044,220158717031,4100000
qwen-coder-1.5b,greedy,1,13.087183160,220184293565,4099958
qwen-coder-1.5b,greedy,1,14.094011873,220208479660,4100000
qwen-coder-1.5b,greedy,1,15.101245038,220232508713,3897436
qwen-coder-1.5b,greedy,1,16.108487872,220256616744,4100000
qwen-coder-1.5b,greedy,1,17.115002074,220280777693,4102546
qwen-coder-1.5b,greedy,1,18.122221557,220304566756,4104734
