model,is_reasoning,max_tokens,input_tokens_actual,output_tokens_actual,think_tokens,answer_tokens,hit_budget,has_code,syntax_ok,passes_tests,prefill_tokens_per_sec,decode_tokens_per_sec,cpu_freq_khz,timestamp,run,energy_joules,wall_seconds,run_ok
llama-1b,0,1024,13,587,0,587,0,1,1,1,114.3,25.1,400000,2026-09-17T07:01:47+08:00,1,585.1587,25.171931797,1
llama-1b,0,1024,13,371,0,371,0,1,1,1,111.7,27.2,400000,2026-09-17T07:02:21+08:00,2,358.6411,16.112114974,1
llama-1b,0,1024,13,521,0,521,0,1,1,1,112.7,25.5,400000,2026-09-17T07:02:46+08:00,3,511.6529,22.157472213,1
llama-1b,0,1024,13,450,0,450,0,1,1,1,107.3,27.1,400000,2026-09-17T07:03:17+08:00,4,430.3362,19.137901778,1
llama-1b,0,1024,13,488,0,488,0,1,1,1,113.9,26.0,629742,2026-09-17T07:03:44+08:00,5,481.3652,21.154948329,1
llama-3b,0,1024,13,557,0,557,0,1,1,1,40.2,10.2,400000,2026-09-17T09:10:30+08:00,1,1330.3389,58.400322483,1
llama-3b,0,1024,13,503,0,503,0,1,1,1,39.9,10.4,400000,2026-09-17T09:11:37+08:00,2,1131.3655,51.388974797,1
llama-3b,0,1024,13,574,0,574,0,1,1,1,40.1,9.7,400000,2026-09-17T09:12:37+08:00,3,1193.1955,62.507372330,1
llama-3b,0,1024,13,447,0,447,0,1,1,1,39.8,9.9,400000,2026-09-17T09:13:48+08:00,4,974.5343,48.379339608,1
llama-3b,0,1024,13,514,0,514,0,1,1,1,41.3,9.2,400000,2026-09-17T09:14:45+08:00,5,1068.9811,59.491397565,1
qwen-coder-1.5b,0,1024,12,287,0,287,0,1,1,1,84.4,22.3,400000,2026-09-17T10:38:49+08:00,1,332.7676,15.104993788,1
qwen-coder-1.5b,0,1024,12,375,0,375,0,1,1,1,77.5,22.2,400000,2026-09-17T10:39:12+08:00,2,432.0665,19.138844274,1
qwen-coder-1.5b,0,1024,12,256,0,256,0,1,1,1,88.6,21.8,400000,2026-09-17T10:39:40+08:00,3,309.7344,13.095054732,1
qwen-coder-1.5b,0,1024,12,523,0,523,0,1,1,1,83.3,21.8,400000,2026-09-17T10:40:02+08:00,4,603.0735,26.188984830,1
qwen-coder-1.5b,0,1024,12,700,0,700,0,1,1,1,81.5,20.5,400000,2026-09-17T10:40:36+08:00,5,749.7369,36.286328758,1
