model,run,elapsed_s,energy_uj,cpu_freq_khz
llama-1b,1,.000863189,94349978190,400000
llama-1b,1,1.008241404,94367236873,400000
llama-1b,1,2.014871930,94391973077,4100000
llama-1b,1,3.022026501,94414789242,400000
llama-1b,1,4.029214378,94438079526,4100000
llama-1b,1,5.035742727,94461710814,4600139
llama-1b,1,6.042038128,94485083984,4100041
llama-1b,1,7.049244373,94509496641,3541913
llama-1b,1,8.055988608,94534230281,3606150
llama-1b,1,9.063045063,94558748346,4100041
llama-1b,1,10.069751644,94582461908,400857
llama-1b,1,11.076075603,94606182551,4100041
llama-1b,1,12.083041941,94630178522,400000
llama-1b,1,13.090241065,94654127557,4100000
llama-1b,1,14.097197398,94678249139,4100000
llama-1b,1,15.103959494,94702124261,400000
llama-1b,1,16.111139383,94726174309,4100000
llama-1b,1,17.117900922,94750382011,4100000
