model,run,elapsed_s,energy_uj,cpu_freq_khz
llama-3b,1,.000801161,144774415814,400000
llama-3b,1,1.006215885,144794289542,777739
llama-3b,1,2.012670771,144817397699,4100000
llama-3b,1,3.018952089,144844741989,4018072
llama-3b,1,4.025627327,144867433581,4100000
llama-3b,1,5.032502816,144890792286,4099957
llama-3b,1,6.039760515,144913962149,400000
llama-3b,1,7.046342984,144937261039,4100041
llama-3b,1,8.053499645,144960205988,4100000
llama-3b,1,9.060776449,144983699580,4100000
llama-3b,1,10.068139655,145007179012,4100000
llama-3b,1,11.074884694,145030786618,400000
llama-3b,1,12.081644499,145054574887,4100000
llama-3b,1,13.088462807,145078354123,4100000
llama-3b,1,14.095399172,145102400692,4100000
llama-3b,1,15.101918687,145126135678,4100000
llama-3b,1,16.108383634,145149772763,4100000
llama-3b,1,17.115564490,145173534055,400000
llama-3b,1,18.122060793,145197438840,400000
llama-3b,1,19.128724639,145220962767,4100041
llama-3b,1,20.135724419,145244686522,4099950
llama-3b,1,21.142769711,145268501829,4100000
llama-3b,1,22.149832331,145291488892,4100000
llama-3b,1,23.156771004,145314294803,4100000
llama-3b,1,24.163477204,145336813727,4100000
llama-3b,1,25.170376998,145359847726,4103253
llama-3b,1,26.177640611,145382699535,4100000
llama-3b,1,27.184552827,145406111768,4100045
llama-3b,1,28.191747597,145429059707,4100000
llama-3b,1,29.198518419,145451890032,4099109
llama-3b,1,30.205697083,145475036274,4100000
llama-3b,1,31.212553652,145498049948,4103615
llama-3b,1,32.219398087,145521145836,4100041
llama-3b,1,33.226077060,145545080345,4100000
llama-3b,1,34.233032364,145568718590,4100000
llama-3b,1,35.239963256,145592119592,4014867
llama-3b,1,36.246839132,145615633509,4100000
llama-3b,1,37.253492767,145639131923,4099953
llama-3b,1,38.259966047,145662871547,4544260
llama-3b,1,39.266816783,145685680144,4095142
llama-3b,1,40.274361358,145709673430,4100000
llama-3b,1,41.281373406,145732633637,400000
llama-3b,1,42.288363792,145755548617,4100000
llama-3b,1,43.295074441,145778453649,4100000
llama-3b,1,44.301839849,145801804297,400000
llama-3b,1,45.308885770,145825364112,4100000
llama-3b,1,46.315406312,145848360697,4100000
llama-3b,1,47.322299911,145871215252,4104338
llama-3b,1,48.328943631,145893158800,1282797
llama-3b,1,49.336384961,145915236563,4100000
llama-3b,1,50.343335690,145937611689,4047944
llama-3b,1,51.350036667,145960271970,4100000
llama-3b,1,52.357322786,145982923646,4099957
llama-3b,1,53.363886034,146006145022,4092069
llama-3b,1,54.370554595,146028341559,4100000
llama-3b,1,55.377377983,146051095834,4101023
llama-3b,1,56.383430646,146073758130,4100000
llama-3b,1,57.391803518,146096005082,400000
llama-3b,2,.000812705,146137498567,2221045
llama-3b,2,1.006610549,146157761394,4428582
llama-3b,2,2.013521504,146180725935,4100041
llama-3b,2,3.020022334,146208006382,4193866
llama-3b,2,4.027129245,146231648595,4100041
llama-3b,2,5.035244176,146255729161,4054008
llama-3b,2,6.042451443,146280154513,4099958
llama-3b,2,7.049587923,146305084320,4100000
llama-3b,2,8.056903336,146329566130,4100000
llama-3b,2,9.064357343,146354373989,4099958
llama-3b,2,10.072098221,146378093899,4099958
llama-3b,2,11.079850466,146402291407,1002171
llama-3b,2,12.087366283,146425965602,4100000
llama-3b,2,13.094195264,146450359400,4700000
llama-3b,2,14.101152872,146474465295,4100000
llama-3b,2,15.108870980,146498314965,4100000
llama-3b,2,16.116188449,146522269921,4100041
llama-3b,2,17.122935148,146546582908,4099957
llama-3b,2,18.129824124,146570802817,4099958
llama-3b,2,19.137448853,146595189717,4100000
llama-3b,2,20.144576910,146619722675,4100000
llama-3b,2,21.151615122,146644364762,4100042
llama-3b,2,22.158724386,146668426957,4100000
llama-3b,2,23.165642591,146692254837,4099958
llama-3b,2,24.172954042,146715046405,4099958
llama-3b,2,25.179769260,146739008746,4100000
llama-3b,2,26.186861411,146762423359,3923107
llama-3b,2,27.193884232,146785874593,4100000
llama-3b,2,28.202510869,146809545919,4054718
llama-3b,2,29.209794293,146832723228,4100000
llama-3b,2,30.217264313,146856289757,4100223
llama-3b,2,31.224570283,146879841271,4099958
llama-3b,2,32.231667199,146903255091,4143137
llama-3b,2,33.238965766,146926933802,4099958
llama-3b,2,34.246090814,146950392543,4100000
llama-3b,2,35.252993401,146974630518,4100041
llama-3b,2,36.260222641,146999013757,4100000
llama-3b,2,37.267561063,147023159752,4100000
llama-3b,2,38.274415007,147047341453,4099958
llama-3b,2,39.281447816,147071095054,400094
llama-3b,2,40.288959844,147094534875,4107294
llama-3b,2,41.296402313,147117998804,4100043
llama-3b,2,42.303750336,147138350314,3399965
llama-3b,2,43.313324801,147152839596,3399965
llama-3b,2,44.322923275,147167216085,3432580
llama-3b,2,45.332074774,147181992719,3399965
llama-3b,2,46.342088175,147196705450,3400000
llama-3b,2,47.351867231,147211131500,3500501
llama-3b,2,48.360624707,147225963371,3600000
llama-3b,2,49.369760211,147240832413,3500000
llama-3b,2,50.379054205,147255668007,3600000
llama-3b,3,.000787464,147299538561,400000
llama-3b,3,1.006401067,147319369687,400000
llama-3b,3,2.013160488,147342930296,4100000
llama-3b,3,3.019298484,147370394032,4100000
llama-3b,3,4.026935560,147393530569,4100043
llama-3b,3,5.033736326,147416763847,4100000
llama-3b,3,6.040896645,147441375967,4100041
llama-3b,3,7.047979332,147465151846,4005774
llama-3b,3,8.055011777,147489889331,4100000
llama-3b,3,9.062448142,147514340318,4100000
llama-3b,3,10.069294691,147538480149,4100000
llama-3b,3,11.076446480,147562199571,4100000
llama-3b,3,12.084567476,147586443833,4100000
llama-3b,3,13.091436552,147610059434,4100043
llama-3b,3,14.098443135,147634061264,4100000
llama-3b,3,15.105798090,147658141037,400827
llama-3b,3,16.113090267,147681965561,4100000
llama-3b,3,17.120651926,147705071886,4100000
llama-3b,3,18.129605213,147728841539,4100000
llama-3b,3,19.136940434,147752398181,4099951
llama-3b,3,20.143446456,147776123645,4099958
llama-3b,3,21.150794376,147800671067,4100000
llama-3b,3,22.157891875,147824783066,4100000
llama-3b,3,23.164810475,147849037399,4100000
llama-3b,3,24.171949474,147871966905,4100000
llama-3b,3,25.178905582,147895276843,4100000
llama-3b,3,26.185795433,147918938221,4099954
llama-3b,3,27.192918344,147942325673,4100000
llama-3b,3,28.199892063,147965877248,4100041
llama-3b,3,29.206889613,147989270011,4100000
llama-3b,3,30.213813245,148013062369,4099952
llama-3b,3,31.221357971,148031480596,3500035
llama-3b,3,32.230179395,148045990996,3400000
llama-3b,3,33.239142297,148060668265,3400000
llama-3b,3,34.248796904,148075137711,3500000
llama-3b,3,35.258132301,148089828347,3400000
llama-3b,3,36.267339911,148104613588,2904901
llama-3b,3,37.276520619,148119458764,400000
llama-3b,3,38.286823634,148134279283,3400034
llama-3b,3,39.296272645,148149093698,3400000
llama-3b,3,40.305327232,148163825899,463141
llama-3b,3,41.314772808,148178859247,3500000
llama-3b,3,42.323920533,148193830156,3500000
llama-3b,3,43.332945596,148208828226,3500000
llama-3b,3,44.343016978,148223685487,3507291
llama-3b,3,45.351967702,148238700708,3500037
llama-3b,3,46.360795257,148253881943,3500038
llama-3b,3,47.369718149,148268774849,1212429
llama-3b,3,48.378221909,148283842255,400000
llama-3b,3,49.387246485,148298915092,3599946
llama-3b,3,50.396745329,148313942886,3599963
llama-3b,3,51.405972188,148329031592,3563482
llama-3b,3,52.415083672,148344112730,3500000
llama-3b,3,53.424151855,148359238058,3500000
llama-3b,3,54.433534133,148374308027,3500000
llama-3b,3,55.442508259,148389479924,568329
llama-3b,3,56.451409855,148404577480,3595187
llama-3b,3,57.460764017,148419700122,3500459
llama-3b,3,58.469625437,148434769236,3600000
llama-3b,3,59.478545317,148449902315,3500000
llama-3b,3,60.487347606,148465031976,3603138
llama-3b,3,61.496582140,148480109575,3500000
llama-3b,4,.000837110,148523951076,400000
llama-3b,4,1.006644924,148543699072,400000
llama-3b,4,2.013341356,148567273597,400000
llama-3b,4,3.020341753,148594630705,4100000
llama-3b,4,4.027430509,148617880828,4100000
llama-3b,4,5.034764566,148640962068,4100041
llama-3b,4,6.041769551,148663993686,400000
llama-3b,4,7.049078284,148686716284,4100000
llama-3b,4,8.056334604,148709686746,4067750
llama-3b,4,9.063187879,148733210428,400000
llama-3b,4,10.070463846,148756476360,400000
llama-3b,4,11.078101794,148780353923,4100000
llama-3b,4,12.085387918,148803843060,4100000
llama-3b,4,13.093310552,148827794659,4100041
llama-3b,4,14.100557044,148851535381,4105366
llama-3b,4,15.107364400,148875409527,400000
llama-3b,4,16.114256002,148898720869,3884228
llama-3b,4,17.121298770,148922796185,2577830
llama-3b,4,18.128401299,148947713663,4100000
llama-3b,4,19.136115687,148971355753,4100000
llama-3b,4,20.143568208,148994810405,4100000
llama-3b,4,21.150355819,149018488750,4100000
llama-3b,4,22.157446946,149042503398,793558
llama-3b,4,23.164491929,149065395308,4099958
llama-3b,4,24.171638862,149088483627,4100000
llama-3b,4,25.179063059,149111160510,4100000
llama-3b,4,26.186082951,149134392445,3842576
llama-3b,4,27.193282761,149157699271,4088061
llama-3b,4,28.200465396,149180500482,4098998
llama-3b,4,29.207324324,149204357293,4109382
llama-3b,4,30.214641417,149227909723,4100000
llama-3b,4,31.222049259,149248854005,2902486
llama-3b,4,32.231362481,149263403651,400000
llama-3b,4,33.240630763,149277849537,400000
llama-3b,4,34.249812016,149292485547,400000
llama-3b,4,35.258800312,149307189794,3500000
llama-3b,4,36.267959721,149321967649,3400000
llama-3b,4,37.277491827,149336741110,3399963
llama-3b,4,38.287212104,149351494490,3400000
llama-3b,4,39.296688700,149366341192,3500000
llama-3b,4,40.305570708,149381221648,3500000
llama-3b,4,41.314690231,149396217215,3498342
llama-3b,4,42.323361771,149411022230,3499961
llama-3b,4,43.332304516,149426046118,3500000
llama-3b,4,44.341801794,149441033811,400000
llama-3b,4,45.350696776,149456009542,3500000
llama-3b,4,46.359622264,149471196820,400000
llama-3b,4,47.369159107,149486068913,3500314
llama-3b,5,.000827113,149530079543,400000
llama-3b,5,1.006919933,149550250451,4699952
llama-3b,5,2.013636527,149573044216,4100000
llama-3b,5,3.020507756,149600929886,4100000
llama-3b,5,4.027338918,149623709674,400000
llama-3b,5,5.034528257,149647047383,4100000
llama-3b,5,6.041611235,149670027427,4030104
llama-3b,5,7.048820141,149692914575,4100000
llama-3b,5,8.056398750,149715765835,4100147
llama-3b,5,9.063678643,149738731719,400000
llama-3b,5,10.070939458,149761864838,4099954
llama-3b,5,11.077902119,149784959689,4099958
llama-3b,5,12.085378147,149808469821,399827
llama-3b,5,13.092455976,149831729405,4100000
llama-3b,5,14.099619727,149855150183,4100000
llama-3b,5,15.106814668,149878373024,4072045
llama-3b,5,16.114112867,149901886147,400000
llama-3b,5,17.121220738,149925280802,4100000
llama-3b,5,18.128159208,149948521099,400000
llama-3b,5,19.135635874,149971895367,4100000
llama-3b,5,20.142863762,149995853009,4100000
llama-3b,5,21.149797711,150020125835,400000
llama-3b,5,22.157251866,150043676373,4100000
llama-3b,5,23.164391432,150066712019,4100000
llama-3b,5,24.171478541,150087248099,3495289
llama-3b,5,25.180530615,150101751419,3500000
llama-3b,5,26.189885269,150116365395,3501350
llama-3b,5,27.199068264,150130921877,3444961
llama-3b,5,28.208368384,150145691797,3400000
llama-3b,5,29.217648264,150160338794,3400000
llama-3b,5,30.227060163,150175021251,3500000
llama-3b,5,31.236359775,150189920505,3500000
llama-3b,5,32.245185317,150204754451,3500000
llama-3b,5,33.254562864,150219775165,3400745
llama-3b,5,34.264081071,150234559795,3500000
llama-3b,5,35.273339115,150249481937,3504697
llama-3b,5,36.282311048,150264519557,400000
llama-3b,5,37.291469875,150279636828,3400000
llama-3b,5,38.301062087,150294539866,3400034
llama-3b,5,39.310405352,150309647005,3345624
llama-3b,5,40.319745210,150324522028,2849824
llama-3b,5,41.328998060,150339580583,3500000
llama-3b,5,42.338040555,150354969460,3299521
llama-3b,5,43.347095928,150369772034,3500000
llama-3b,5,44.356126641,150384796105,3500072
llama-3b,5,45.365068103,150400067611,3401358
llama-3b,5,46.373891630,150415202521,3299966
llama-3b,5,47.382399358,150430174468,3400037
llama-3b,5,48.390685893,150445394766,3299735
llama-3b,5,49.400284876,150460396619,3300000
llama-3b,5,50.409158081,150475463170,3380110
llama-3b,5,51.418875330,150490387143,400000
llama-3b,5,52.427886772,150505380696,3600000
llama-3b,5,53.436864123,150520400372,3699962
llama-3b,5,54.445333888,150535591922,3598825
llama-3b,5,55.454196246,150550675929,3330356
llama-3b,5,56.463175729,150565807665,400000
llama-3b,5,57.472223626,150581093393,400000
llama-3b,5,58.481296755,150595894807,400219
