model,run,elapsed_s,energy_uj,cpu_freq_khz
qwen-coder-1.5b,1,.000816375,220889406079,400000
qwen-coder-1.5b,1,1.006756825,220906867887,400000
qwen-coder-1.5b,1,2.013513482,220931542323,4108216
qwen-coder-1.5b,1,3.020370933,220954809476,4100000
qwen-coder-1.5b,1,4.027535914,220978098418,4100041
qwen-coder-1.5b,1,5.034275620,221001424164,400000
qwen-coder-1.5b,1,6.041886564,221025058441,4100000
qwen-coder-1.5b,1,7.048873953,221048439363,4100000
qwen-coder-1.5b,1,8.055257529,221071854892,4100000
qwen-coder-1.5b,1,9.062390565,221095908907,4099958
qwen-coder-1.5b,1,10.069211423,221120611175,3060602
qwen-coder-1.5b,1,11.076077350,221143925935,3559510
qwen-coder-1.5b,1,12.082739829,221167413912,4100000
qwen-coder-1.5b,1,13.089803768,221190973666,400000
qwen-coder-1.5b,1,14.096789884,221214599094,3090142
qwen-coder-1.5b,2,.000830933,221251252015,870238
qwen-coder-1.5b,2,1.007506040,221268580767,400000
qwen-coder-1.5b,2,2.014452689,221293433731,4100000
qwen-coder-1.5b,2,3.021800222,221317166092,4100041
qwen-coder-1.5b,2,4.029482932,221340664140,4599950
qwen-coder-1.5b,2,5.036192360,221364488237,400000
qwen-coder-1.5b,2,6.043713136,221388240678,4100000
qwen-coder-1.5b,2,7.050895319,221411942583,400000
qwen-coder-1.5b,2,8.058081510,221435777971,400000
qwen-coder-1.5b,2,9.065444317,221459483965,4100000
qwen-coder-1.5b,2,10.072769030,221483475969,400000
qwen-coder-1.5b,2,11.079843683,221507114214,400000
qwen-coder-1.5b,2,12.086870198,221530693744,4100000
qwen-coder-1.5b,2,13.094097096,221554771136,400000
qwen-coder-1.5b,2,14.101211657,221579084001,791665
qwen-coder-1.5b,2,15.108486459,221603027726,400310
qwen-coder-1.5b,2,16.115697545,221626195391,4100041
qwen-coder-1.5b,2,17.122622878,221650608049,4100164
qwen-coder-1.5b,2,18.129891956,221674216020,4100000
qwen-coder-1.5b,3,.000850780,221713120096,400000
qwen-coder-1.5b,3,1.006859928,221735389082,4099958
qwen-coder-1.5b,3,2.013665427,221760269755,4100000
qwen-coder-1.5b,3,3.020833412,221784541055,4099956
qwen-coder-1.5b,3,4.028221161,221808350321,4105907
qwen-coder-1.5b,3,5.035919698,221832076761,4090465
qwen-coder-1.5b,3,6.043242129,221855776469,4100000
qwen-coder-1.5b,3,7.050709027,221879315776,4100000
qwen-coder-1.5b,3,8.057976250,221903406535,4100000
qwen-coder-1.5b,3,9.065204689,221926616925,4103799
qwen-coder-1.5b,3,10.072600949,221951148356,4102222
qwen-coder-1.5b,3,11.079685264,221974808390,400000
qwen-coder-1.5b,3,12.086357830,221999087198,4038514
qwen-coder-1.5b,4,.000843769,222052633936,683260
qwen-coder-1.5b,4,1.007225904,222070100444,400000
qwen-coder-1.5b,4,2.014176788,222095512671,4100041
qwen-coder-1.5b,4,3.021707596,222119198829,4100043
qwen-coder-1.5b,4,4.028837134,222142779518,4100000
qwen-coder-1.5b,4,5.035954418,222166954749,3582187
qwen-coder-1.5b,4,6.043254124,222190472938,4100000
qwen-coder-1.5b,4,7.050368365,222213932046,400000
qwen-coder-1.5b,4,8.057587789,222237962868,4100000
qwen-coder-1.5b,4,9.064884817,222261991737,4100000
qwen-coder-1.5b,4,10.072217543,222285514687,4100000
qwen-coder-1.5b,4,11.079414743,222309314492,4100000
qwen-coder-1.5b,4,12.087012919,222332621195,399278
qwen-coder-1.5b,4,13.093992010,222356296489,4100000
qwen-coder-1.5b,4,14.101425103,222379954509,4099418
qwen-coder-1.5b,4,15.108690831,222403414593,4100000
qwen-coder-1.5b,4,16.115999212,222426923261,4100000
qwen-coder-1.5b,4,17.123250043,222450515730,4099958
qwen-coder-1.5b,4,18.130375344,222474609296,400000
qwen-coder-1.5b,4,19.137265127,222498862469,400000
qwen-coder-1.5b,4,20.144626182,222523493875,4100000
qwen-coder-1.5b,4,21.151484762,222548164467,400000
qwen-coder-1.5b,4,22.159006524,222573120946,4100000
qwen-coder-1.5b,4,23.166291828,222596957494,4100000
qwen-coder-1.5b,4,24.173309643,222621173435,4100000
qwen-coder-1.5b,4,25.180189720,222645673311,4099956
qwen-coder-1.5b,5,.000842599,222686824512,400000
qwen-coder-1.5b,5,1.007388195,222704656986,1016254
qwen-coder-1.5b,5,2.014790609,222729804260,4100000
qwen-coder-1.5b,5,3.021950054,222753502015,400000
qwen-coder-1.5b,5,4.029037253,222777176209,4100000
qwen-coder-1.5b,5,5.036558861,222800317386,4198870
qwen-coder-1.5b,5,6.043741358,222824827577,4100049
qwen-coder-1.5b,5,7.050948823,222849299377,4100000
qwen-coder-1.5b,5,8.057917488,222873670286,4100041
qwen-coder-1.5b,5,9.065261169,222896875976,4069797
qwen-coder-1.5b,5,10.072367515,222920010561,4100383
qwen-coder-1.5b,5,11.079136288,222943524783,4100000
qwen-coder-1.5b,5,12.086105091,222967456179,4089432
qwen-coder-1.5b,5,13.093316633,222992694090,4600707
qwen-coder-1.5b,5,14.100324946,223017557796,4100000
qwen-coder-1.5b,5,15.107292437,223041386410,4100000
qwen-coder-1.5b,5,16.114090448,223065323177,4100000
qwen-coder-1.5b,5,17.121244548,223089175899,4100000
qwen-coder-1.5b,5,18.129239529,223113553400,4100000
qwen-coder-1.5b,5,19.136601666,223137779840,4100000
qwen-coder-1.5b,5,20.143647561,223161936028,3697697
qwen-coder-1.5b,5,21.150831009,223186340323,4100000
qwen-coder-1.5b,5,22.157956853,223211047840,4100041
qwen-coder-1.5b,5,23.165192196,223235766710,3001222
qwen-coder-1.5b,5,24.172108075,223260497848,1978828
qwen-coder-1.5b,5,25.179575463,223281075920,2892562
qwen-coder-1.5b,5,26.189447679,223295595354,2040762
qwen-coder-1.5b,5,27.199187780,223310036540,3399723
qwen-coder-1.5b,5,28.208461184,223324692752,400000
qwen-coder-1.5b,5,29.218196357,223339360500,3143496
qwen-coder-1.5b,5,30.227714273,223354139149,3400000
qwen-coder-1.5b,5,31.238191725,223368919873,2617915
qwen-coder-1.5b,5,32.247503182,223383660436,400000
qwen-coder-1.5b,5,33.257138661,223398486203,3492813
qwen-coder-1.5b,5,34.266398143,223413497395,3400000
qwen-coder-1.5b,5,35.275753042,223428318341,3468744
