model,run,elapsed_s,energy_uj,cpu_freq_khz
qwen-coder-1.5b,1,.000802228,219259068761,400000
qwen-coder-1.5b,1,1.006339131,219276141898,400000
qwen-coder-1.5b,1,2.012889130,219300825551,3537943
qwen-coder-1.5b,1,3.019535708,219324472524,4097591
qwen-coder-1.5b,1,4.026145371,219347823477,4099958
qwen-coder-1.5b,1,5.033392617,219370864861,1471877
qwen-coder-1.5b,1,6.040111268,219394037470,4100000
qwen-coder-1.5b,1,7.047156335,219417017087,4099953
qwen-coder-1.5b,1,8.054488045,219440121825,4100000
qwen-coder-1.5b,1,9.061766761,219463055177,4100000
qwen-coder-1.5b,1,10.068698356,219486046817,4100490
qwen-coder-1.5b,1,11.075597217,219509266607,4099713
qwen-coder-1.5b,1,12.082396675,219532447944,4100000
qwen-coder-1.5b,1,13.089011925,219555537973,581744
qwen-coder-1.5b,1,14.096486577,219579103464,4100000
qwen-coder-1.5b,1,15.102996328,219602096203,4100044
qwen-coder-1.5b,1,16.110193147,219626018993,4100041
qwen-coder-1.5b,1,17.117404200,219649918041,865143
qwen-coder-1.5b,1,18.124602125,219674109629,4104019
qwen-coder-1.5b,1,19.131669245,219698527597,4059654
qwen-coder-1.5b,1,20.138586310,219722701546,4010646
qwen-coder-1.5b,1,21.146002959,219747332281,4099951
qwen-coder-1.5b,1,22.152700305,219771646489,400000
qwen-coder-1.5b,1,23.159482051,219796140445,400000
qwen-coder-1.5b,1,24.166714518,219820301577,484260
