model,sweep_type,input_tokens_requested,output_tokens_requested,input_tokens_actual,output_tokens_actual,prefill_tokens_per_sec,decode_tokens_per_sec,cpu_freq_khz,timestamp,run,energy_joules,wall_seconds,run_ok
llama-1b,input_sweep,128,64,104,64,150.6,20.2,4745530,2026-09-17T13:01:53+08:00,1,176.7557,6.044412267,1
llama-1b,input_sweep,128,64,104,64,149.9,20.2,400000,2026-09-17T13:02:08+08:00,2,178.5617,6.047431395,1
llama-1b,input_sweep,128,64,104,64,149.4,20.2,4745216,2026-09-17T13:02:22+08:00,3,179.5561,6.044949888,1
llama-1b,input_sweep,128,64,104,64,148.5,20.2,4505116,2026-09-17T13:02:37+08:00,4,177.6915,6.046394204,1
llama-1b,input_sweep,128,64,104,64,149.9,20.2,4604100,2026-09-17T13:02:51+08:00,5,179.3738,6.045440416,1
llama-1b,input_sweep,256,64,211,64,153.9,19.6,4614108,2026-09-17T13:03:06+08:00,1,214.2891,7.054969177,1
llama-1b,input_sweep,256,64,211,64,153.3,19.5,4490667,2026-09-17T13:03:21+08:00,2,212.8925,7.054703597,1
llama-1b,input_sweep,256,64,211,64,153.4,19.5,400000,2026-09-17T13:03:37+08:00,3,213.0999,7.054619263,1
llama-1b,input_sweep,256,64,211,64,152.7,19.5,400000,2026-09-17T13:03:52+08:00,4,214.4537,7.054482471,1
llama-1b,input_sweep,256,64,211,64,152.7,19.5,400000,2026-09-17T13:04:08+08:00,5,206.8761,7.056629753,1
llama-1b,input_sweep,384,64,316,64,149.4,18.9,400000,2026-09-17T13:04:23+08:00,1,204.8986,8.068716081,1
llama-1b,input_sweep,384,64,316,64,150.4,18.9,4605360,2026-09-17T13:04:40+08:00,2,206.7501,8.070143683,1
llama-1b,input_sweep,384,64,316,64,150.2,18.9,400000,2026-09-17T13:04:56+08:00,3,205.7019,8.066963246,1
llama-1b,input_sweep,384,64,316,64,150.7,18.9,4779306,2026-09-17T13:05:13+08:00,4,208.1123,8.077692339,1
llama-1b,input_sweep,384,64,316,64,150.7,19.2,4759318,2026-09-17T13:05:29+08:00,5,223.5906,7.056851664,1
llama-1b,input_sweep,512,64,422,64,148.2,19.0,4420013,2026-09-17T13:05:45+08:00,1,245.6645,8.067026575,1
llama-1b,input_sweep,512,64,422,64,145.7,18.5,400000,2026-09-17T13:06:01+08:00,2,220.4262,9.076192844,1
llama-1b,input_sweep,512,64,422,64,146.6,18.5,400000,2026-09-17T13:06:19+08:00,3,219.6944,9.077542412,1
llama-1b,input_sweep,512,64,422,64,147.1,18.5,400000,2026-09-17T13:06:36+08:00,4,219.9828,8.069935131,1
llama-1b,input_sweep,512,64,422,64,143.2,18.5,4742560,2026-09-17T13:06:53+08:00,5,215.9109,9.079650921,1
llama-1b,input_sweep,768,64,635,64,120.4,17.8,400000,2026-09-17T13:07:10+08:00,1,254.8962,11.105892402,1
llama-1b,input_sweep,768,64,635,64,121.6,17.8,4448252,2026-09-17T13:07:30+08:00,2,254.9943,11.105270192,1
llama-1b,input_sweep,768,64,635,64,120.9,17.8,400000,2026-09-17T13:07:49+08:00,3,254.2760,11.106607352,1
llama-1b,input_sweep,768,64,635,64,121.2,17.8,4473225,2026-09-17T13:08:09+08:00,4,254.2844,11.109030581,1
llama-1b,input_sweep,768,64,635,64,121.0,17.8,4200508,2026-09-17T13:08:28+08:00,5,253.9785,11.107348444,1
llama-1b,input_sweep,1024,64,846,64,110.4,17.1,400000,2026-09-17T13:08:48+08:00,1,289.4288,13.131046806,1
llama-1b,input_sweep,1024,64,846,64,111.3,17.1,4529382,2026-09-17T13:09:10+08:00,2,291.2522,14.137388179,1
llama-1b,input_sweep,1024,64,846,64,111.7,17.1,4733618,2026-09-17T13:09:32+08:00,3,293.7995,13.138020782,1
llama-1b,input_sweep,1024,64,846,64,109.1,16.9,400000,2026-09-17T13:09:54+08:00,4,294.0631,14.144207093,1
llama-1b,input_sweep,1024,64,846,64,112.1,17.1,400000,2026-09-17T13:10:16+08:00,5,291.9595,13.129016901,1
llama-1b,input_sweep,1536,64,1270,64,99.9,15.6,4743330,2026-09-17T13:10:38+08:00,1,370.4297,19.201424701,1
llama-1b,input_sweep,1536,64,1270,64,101.1,15.6,4520846,2026-09-17T13:11:06+08:00,2,373.7813,19.204849696,1
llama-1b,input_sweep,1536,64,1270,64,100.8,15.7,4721329,2026-09-17T13:11:33+08:00,3,372.6272,19.201716881,1
llama-1b,input_sweep,1536,64,1270,64,101.2,15.7,400000,2026-09-17T13:12:01+08:00,4,374.8455,19.201710408,1
llama-1b,input_sweep,1536,64,1270,64,100.6,15.7,400000,2026-09-17T13:12:28+08:00,5,372.8348,19.199390089,1
llama-1b,input_sweep,2048,64,1693,64,95.4,14.8,4689765,2026-09-17T13:12:56+08:00,1,451.8377,24.266243803,1
llama-1b,input_sweep,2048,64,1693,64,95.4,14.8,4721990,2026-09-17T13:13:29+08:00,2,451.1046,24.262017111,1
llama-1b,input_sweep,2048,64,1693,64,95.5,14.8,400000,2026-09-17T13:14:02+08:00,3,452.6063,24.261830588,1
llama-1b,input_sweep,2048,64,1693,64,95.7,14.8,400000,2026-09-17T13:14:34+08:00,4,450.8963,24.260616482,1
llama-1b,input_sweep,2048,64,1693,64,95.4,14.8,400000,2026-09-17T13:15:07+08:00,5,450.0386,24.267896533,1
llama-1b,output_sweep,512,8,422,8,142.9,18.5,4683106,2026-09-17T13:15:40+08:00,1,172.6357,5.037482254,1
llama-1b,output_sweep,512,8,422,8,140.1,18.3,400000,2026-09-17T13:15:53+08:00,2,169.7026,5.039071171,1
llama-1b,output_sweep,512,8,422,8,143.2,18.5,400000,2026-09-17T13:16:07+08:00,3,171.3335,6.045730783,1
llama-1b,output_sweep,512,8,422,8,146.8,18.6,4722267,2026-09-17T13:16:21+08:00,4,176.0323,6.045716083,1
llama-1b,output_sweep,512,8,422,8,144.5,18.5,400000,2026-09-17T13:16:36+08:00,5,174.4246,5.037919293,1
llama-1b,output_sweep,512,16,422,16,140.1,18.4,400000,2026-09-17T13:16:49+08:00,1,176.6228,6.050984698,1
llama-1b,output_sweep,512,16,422,16,144.0,18.4,4636057,2026-09-17T13:17:04+08:00,2,179.2586,6.049722259,1
llama-1b,output_sweep,512,16,422,16,142.0,18.4,4609102,2026-09-17T13:17:18+08:00,3,177.4526,6.049756432,1
llama-1b,output_sweep,512,16,422,16,142.4,18.5,4316818,2026-09-17T13:17:33+08:00,4,178.0652,6.049013856,1
llama-1b,output_sweep,512,16,422,16,144.9,18.5,400000,2026-09-17T13:17:47+08:00,5,179.3822,6.048397747,1
llama-1b,output_sweep,512,32,422,32,142.7,18.5,400000,2026-09-17T13:18:02+08:00,1,190.8934,7.060522418,1
llama-1b,output_sweep,512,32,422,32,145.5,18.5,400000,2026-09-17T13:18:17+08:00,2,192.6432,7.059912985,1
