model,sweep_type,input_tokens_requested,output_tokens_requested,run,elapsed_s,energy_uj,cpu_freq_khz
llama-1b,input_sweep,128,64,1,.000703309,30818485801,4422740
llama-1b,input_sweep,128,64,1,1.006390577,30841284510,4698917
llama-1b,input_sweep,128,64,1,2.011757151,30885132359,3540195
llama-1b,input_sweep,128,64,1,3.019128210,30920153021,3882597
llama-1b,input_sweep,128,64,1,4.027177696,30953313703,3899933
llama-1b,input_sweep,128,64,1,5.035144513,30986418599,3900037
llama-1b,input_sweep,128,64,2,.000792544,31008713342,400000
llama-1b,input_sweep,128,64,2,1.006482278,31030665983,3634803
llama-1b,input_sweep,128,64,2,2.013353430,31074452797,3828532
llama-1b,input_sweep,128,64,2,3.021622884,31109896371,3896862
llama-1b,input_sweep,128,64,2,4.029795789,31142948777,3888984
llama-1b,input_sweep,128,64,2,5.037951618,31176040306,3899889
llama-1b,input_sweep,128,64,3,.000746257,31200829061,4174544
llama-1b,input_sweep,128,64,3,1.006392173,31223790550,4368713
llama-1b,input_sweep,128,64,3,2.012099704,31267647005,3447640
llama-1b,input_sweep,128,64,3,3.019755693,31302839664,3881855
llama-1b,input_sweep,128,64,3,4.027537121,31335923319,3899988
llama-1b,input_sweep,128,64,3,5.035614957,31369076005,3900021
llama-1b,input_sweep,128,64,4,.000793907,31394300733,4144248
llama-1b,input_sweep,128,64,4,1.006458123,31415231588,400000
llama-1b,input_sweep,128,64,4,2.012470129,31450804678,3741894
llama-1b,input_sweep,128,64,4,3.021309704,31489130508,3845430
llama-1b,input_sweep,128,64,4,4.029401565,31522229239,3900015
llama-1b,input_sweep,128,64,4,5.037391250,31555277006,3899972
llama-1b,input_sweep,128,64,5,.000757973,31586430185,4143524
llama-1b,input_sweep,128,64,5,1.006385464,31609351819,4427007
llama-1b,input_sweep,128,64,5,2.012223753,31653466391,3800012
llama-1b,input_sweep,128,64,5,3.019810420,31688621635,3893816
llama-1b,input_sweep,128,64,5,4.027805698,31721741607,3899975
llama-1b,input_sweep,128,64,5,5.036077328,31754833990,3723080
llama-1b,input_sweep,256,64,1,.000756930,31786249376,4513674
llama-1b,input_sweep,256,64,1,1.006327096,31808183890,4143838
llama-1b,input_sweep,256,64,1,2.012177272,31844104697,3599991
llama-1b,input_sweep,256,64,1,3.019944298,31892582417,3898257
llama-1b,input_sweep,256,64,1,4.028653472,31925667598,3899976
llama-1b,input_sweep,256,64,1,5.036723737,31958508945,3841237
llama-1b,input_sweep,256,64,1,6.046074597,31991466990,3872709
llama-1b,input_sweep,256,64,2,.000861823,32014127943,4196654
llama-1b,input_sweep,256,64,2,1.006623594,32035657124,4120181
llama-1b,input_sweep,256,64,2,2.012730519,32071354420,3700043
llama-1b,input_sweep,256,64,2,3.020604197,32119367664,3822223
llama-1b,input_sweep,256,64,2,4.028941051,32152206752,3899969
llama-1b,input_sweep,256,64,2,5.037237993,32184878238,3735229
llama-1b,input_sweep,256,64,2,6.045142667,32217878276,3740136
llama-1b,input_sweep,256,64,3,.000756337,32240921918,400000
llama-1b,input_sweep,256,64,3,1.006357069,32261800832,4044237
llama-1b,input_sweep,256,64,3,2.012528874,32297795247,3700460
llama-1b,input_sweep,256,64,3,3.020374346,32345700519,3816852
llama-1b,input_sweep,256,64,3,4.028696327,32378564632,3899980
llama-1b,input_sweep,256,64,3,5.037146074,32411384250,3899986
llama-1b,input_sweep,256,64,3,6.045084396,32444369151,3899983
llama-1b,input_sweep,256,64,4,.000851872,32467341688,4440836
llama-1b,input_sweep,256,64,4,1.006687061,32489955216,4365663
llama-1b,input_sweep,256,64,4,2.012595365,32533808558,3700000
llama-1b,input_sweep,256,64,4,3.020527282,32578625949,3718826
llama-1b,input_sweep,256,64,4,4.028518492,32611526377,3889179
llama-1b,input_sweep,256,64,4,5.036614792,32644267626,3899991
llama-1b,input_sweep,256,64,4,6.045030332,32677432947,3900010
llama-1b,input_sweep,256,64,5,.000760684,32695306070,400000
llama-1b,input_sweep,256,64,5,1.006444318,32716833053,400000
llama-1b,input_sweep,256,64,5,2.012568650,32760974969,3600002
llama-1b,input_sweep,256,64,5,3.020429880,32805759095,3899990
llama-1b,input_sweep,256,64,5,4.028427052,32838491677,3899972
llama-1b,input_sweep,256,64,5,5.036943692,32871303361,3900019
llama-1b,input_sweep,256,64,5,6.046035040,32899703984,2799974
llama-1b,input_sweep,384,64,1,.000844066,32923350774,400000
llama-1b,input_sweep,384,64,1,1.006431706,32943799941,4314611
llama-1b,input_sweep,384,64,1,2.012811468,32979695601,3699986
llama-1b,input_sweep,384,64,1,3.020056643,33027089461,3688829
llama-1b,input_sweep,384,64,1,4.027814508,33069234556,3785685
llama-1b,input_sweep,384,64,1,5.036085590,33096245168,2700024
llama-1b,input_sweep,384,64,1,6.046396204,33111331616,2600005
llama-1b,input_sweep,384,64,1,7.056921653,33126046972,2599996
llama-1b,input_sweep,384,64,2,.000829174,33141857295,4605360
llama-1b,input_sweep,384,64,2,1.006646920,33163414246,400000
llama-1b,input_sweep,384,64,2,2.012691240,33199393158,3699911
llama-1b,input_sweep,384,64,2,3.020053648,33247622588,3591417
llama-1b,input_sweep,384,64,2,4.027748253,33290229107,3900002
llama-1b,input_sweep,384,64,2,5.036494612,33317054356,2699996
llama-1b,input_sweep,384,64,2,6.047267773,33332088253,2600012
llama-1b,input_sweep,384,64,2,7.058384728,33346770711,2600016
llama-1b,input_sweep,384,64,3,.000852301,33362241191,400000
llama-1b,input_sweep,384,64,3,1.006488163,33383240710,4355009
llama-1b,input_sweep,384,64,3,2.012531507,33427358456,3799987
llama-1b,input_sweep,384,64,3,3.020035479,33475222713,3599959
