model,sweep_type,input_tokens_requested,output_tokens_requested,run,elapsed_s,energy_uj,cpu_freq_khz
llama-1b,input_sweep,128,64,1,.000841418,18947070513,400000
llama-1b,input_sweep,128,64,1,1.006317295,18970019734,4314856
llama-1b,input_sweep,128,64,1,2.011959512,19013745941,3712395
llama-1b,input_sweep,128,64,1,3.019239727,19048740602,3873860
llama-1b,input_sweep,128,64,1,4.027030532,19081655313,3900540
llama-1b,input_sweep,128,64,1,5.034890206,19114737748,3834004
llama-1b,output_sweep,512,8,1,.000860802,19147725029,4509873
llama-1b,output_sweep,512,8,1,1.006449263,19170802729,3953666
llama-1b,output_sweep,512,8,1,2.012514477,19214483891,3700005
llama-1b,output_sweep,512,8,1,3.019817230,19263187563,3781496
llama-1b,output_sweep,512,8,1,4.027034440,19310727602,3638293
