model,strategy,output_budget,input_tokens_actual,output_tokens_actual,think_tokens,answer_tokens,hit_budget,contains_return,has_code,syntax_ok,passes_tests,prefill_tokens_per_sec,decode_tokens_per_sec,cpu_freq_khz,timestamp,run,energy_joules,wall_seconds,run_ok
llama-1b,greedy,256,422,256,0,255,1,1,1,1,1,147.5,18.4,400000,2026-09-17T12:52:30+08:00,1,442.0932,19.166932170,1
llama-1b,greedy,256,422,256,0,255,1,1,1,1,1,147.9,18.5,4666981,2026-09-17T12:52:58+08:00,2,446.4593,19.172199787,1
llama-1b,greedy,256,422,256,0,255,1,1,1,1,1,147.9,18.4,400000,2026-09-17T12:53:26+08:00,3,421.4609,19.175808721,1
llama-1b,greedy,256,422,256,0,255,1,1,1,1,1,148.0,18.3,400000,2026-09-17T12:53:54+08:00,4,426.0546,19.176809063,1
llama-1b,greedy,256,422,256,0,255,1,1,1,1,1,147.7,18.3,4738660,2026-09-17T12:54:22+08:00,5,419.0189,19.177443858,1
llama-1b,temperature,256,422,256,0,256,1,1,1,1,0,147.9,17.8,400000,2026-09-17T12:54:50+08:00,1,410.4964,19.177097959,1
llama-1b,temperature,256,422,256,0,256,1,0,1,1,1,144.8,17.8,400000,2026-09-17T12:55:18+08:00,2,399.6151,19.179470939,1
llama-1b,temperature,256,422,256,0,256,1,1,1,1,1,148.3,18.0,400000,2026-09-17T12:55:46+08:00,3,440.8642,19.175183354,1
llama-1b,temperature,256,422,256,0,256,1,1,1,1,0,147.4,17.6,4415589,2026-09-17T12:56:14+08:00,4,387.4217,19.186979791,1
llama-1b,temperature,256,422,256,0,256,1,1,1,1,1,143.9,17.6,400000,2026-09-17T12:56:43+08:00,5,381.0536,20.194487262,1
llama-1b,top_p,256,422,256,0,256,1,1,1,1,1,148.4,17.9,400000,2026-09-17T12:57:12+08:00,1,429.7065,19.174030445,1
llama-1b,top_p,256,422,256,0,256,1,1,1,1,1,147.5,17.5,4483507,2026-09-17T12:57:40+08:00,2,387.4055,20.195108369,1
llama-1b,top_p,256,422,256,0,256,1,1,1,1,1,143.9,17.7,4676898,2026-09-17T12:58:09+08:00,3,403.6426,19.179853090,1
llama-1b,top_p,256,422,256,0,256,1,0,1,1,1,144.0,17.5,4729347,2026-09-17T12:58:37+08:00,4,383.2015,19.186209287,1
llama-1b,top_p,256,422,256,0,256,1,1,1,1,1,142.4,17.8,4724530,2026-09-17T12:59:05+08:00,5,403.7404,19.185104174,1
llama-1b,top_k,256,422,256,0,256,1,0,1,1,1,142.8,18.0,4692753,2026-09-17T12:59:33+08:00,1,374.3200,19.204441447,1
llama-1b,top_k,256,422,256,0,256,1,1,1,1,1,142.2,18.0,4747713,2026-09-17T13:00:01+08:00,2,374.3420,19.197313499,1
llama-1b,top_k,256,422,256,0,256,1,0,1,1,1,142.0,18.3,4621171,2026-09-17T13:00:29+08:00,3,396.8844,19.186202349,1
llama-1b,top_k,256,422,256,0,256,1,1,1,1,1,143.8,18.0,400000,2026-09-17T13:00:57+08:00,4,376.0081,19.191363979,1
llama-1b,top_k,256,422,256,0,256,1,1,1,1,1,144.3,18.0,4613513,2026-09-17T13:01:25+08:00,5,375.7650,19.189725227,1
