model,strategy,run,elapsed_s,energy_uj,cpu_freq_khz
llama-1b,greedy,1,.000863318,22275102521,4484884
llama-1b,greedy,1,1.006396851,22297516160,4442176
llama-1b,greedy,1,2.012093504,22341273738,3699968
llama-1b,greedy,1,3.018898760,22388467038,3800016
llama-1b,greedy,1,4.025996855,22434120363,3399952
llama-1b,greedy,1,5.033768291,22470138826,3898907
llama-1b,greedy,1,6.041783219,22500181290,2999995
llama-1b,greedy,1,7.051283529,22518216401,2800026
llama-1b,greedy,1,8.060901658,22535961106,2799982
llama-1b,greedy,1,9.070225155,22553721498,2799987
llama-1b,greedy,1,10.079646394,22571520036,2899988
llama-1b,greedy,1,11.089209167,22589395845,2900000
llama-1b,greedy,1,12.098890325,22607320054,2799984
llama-1b,greedy,1,13.108273652,22625213624,2799982
llama-1b,greedy,1,14.117977177,22643224198,2802579
llama-1b,greedy,1,15.127211719,22661179658,2799968
llama-1b,greedy,1,16.136911402,22679095505,2899947
llama-1b,greedy,1,17.146336724,22697126526,2899989
llama-1b,greedy,1,18.155677274,22715149734,2800044
llama-1b,greedy,2,.000811151,22741112192,4525567
llama-1b,greedy,2,1.006516662,22762243120,4196373
llama-1b,greedy,2,2.012718708,22797943407,3699862
llama-1b,greedy,2,3.020401257,22845400927,3599961
llama-1b,greedy,2,4.027621527,22891559622,3569065
llama-1b,greedy,2,5.035434288,22929398148,3869876
llama-1b,greedy,2,6.043596487,22963067251,3899976
llama-1b,greedy,2,7.052041405,22986274345,2900046
llama-1b,greedy,2,8.061977250,23003965767,2799976
llama-1b,greedy,2,9.072116183,23021682214,2903311
llama-1b,greedy,2,10.081633302,23039553811,2899850
llama-1b,greedy,2,11.091662393,23057416802,2799978
llama-1b,greedy,2,12.101345851,23075308175,2899961
llama-1b,greedy,2,13.111232805,23093208337,2800030
llama-1b,greedy,2,14.121101984,23111130288,2799985
llama-1b,greedy,2,15.131252819,23129067315,2799989
llama-1b,greedy,2,16.141439031,23147078438,2799977
llama-1b,greedy,2,17.151494365,23165070763,2894662
llama-1b,greedy,2,18.161312063,23183059547,2899846
llama-1b,greedy,3,.000868389,23211299526,4531278
llama-1b,greedy,3,1.006525680,23231749425,400000
llama-1b,greedy,3,2.012861730,23267394842,3699984
llama-1b,greedy,3,3.020599586,23315156377,3614858
llama-1b,greedy,3,4.028160986,23361236093,3599121
llama-1b,greedy,3,5.036148460,23398777684,3900024
llama-1b,greedy,3,6.044482544,23420633768,2600012
llama-1b,greedy,3,7.055049735,23435476381,2600022
llama-1b,greedy,3,8.065494135,23450111598,2600009
llama-1b,greedy,3,9.075972598,23465390123,2799974
llama-1b,greedy,3,10.086290311,23483195803,2900028
llama-1b,greedy,3,11.095827754,23501059588,2900037
llama-1b,greedy,3,12.105659385,23518986727,2899938
llama-1b,greedy,3,13.115431892,23536903246,2899991
llama-1b,greedy,3,14.125141637,23554894045,2800019
llama-1b,greedy,3,15.135047965,23572943193,2900015
llama-1b,greedy,3,16.144913155,23590863557,2900013
llama-1b,greedy,3,17.154851781,23608893723,2899991
llama-1b,greedy,3,18.164654676,23626921143,2899961
llama-1b,greedy,4,.000842447,23657172957,400000
llama-1b,greedy,4,1.006704548,23677823051,400000
llama-1b,greedy,4,2.012731178,23713508812,3700077
llama-1b,greedy,4,3.020189254,23761295188,3499959
llama-1b,greedy,4,4.027539960,23807639491,3500107
llama-1b,greedy,4,5.035352308,23845305288,3899992
llama-1b,greedy,4,6.043713892,23874941748,2799992
llama-1b,greedy,4,7.054097653,23890863094,2599953
llama-1b,greedy,4,8.064924899,23906316119,2700004
llama-1b,greedy,4,9.075392582,23921658731,2599963
llama-1b,greedy,4,10.086107880,23936443788,2599971
llama-1b,greedy,4,11.096319592,23951516869,2799979
llama-1b,greedy,4,12.106101112,23969309915,2899997
llama-1b,greedy,4,13.116123763,23987225396,2900032
llama-1b,greedy,4,14.126014991,24005175912,2900012
llama-1b,greedy,4,15.135988441,24023131005,2900045
llama-1b,greedy,4,16.145749907,24041146584,2899988
llama-1b,greedy,4,17.155794959,24059173637,2899945
llama-1b,greedy,4,18.165544466,24077159309,2799997
llama-1b,greedy,5,.000860506,24107714040,4463408
llama-1b,greedy,5,1.006435772,24129215084,400000
llama-1b,greedy,5,2.012125204,24172823249,3700007
llama-1b,greedy,5,3.019209547,24220212593,3831601
llama-1b,greedy,5,4.026441302,24266020642,3342595
llama-1b,greedy,5,5.034915346,24296953607,2800000
llama-1b,greedy,5,6.045138761,24312103776,2500029
llama-1b,greedy,5,7.056393125,24326822793,2597656
llama-1b,greedy,5,8.066886185,24343937069,2800031
llama-1b,greedy,5,9.076866954,24361762279,2900024
llama-1b,greedy,5,10.086636732,24379623928,2899887
llama-1b,greedy,5,11.096572538,24397518413,2900041
llama-1b,greedy,5,12.106454652,24415491146,2899987
llama-1b,greedy,5,13.116230741,24433423351,2900039
llama-1b,greedy,5,14.126378210,24451404811,2896170
llama-1b,greedy,5,15.136543634,24469373454,2899969
llama-1b,greedy,5,16.146534548,24487391108,2899656
llama-1b,greedy,5,17.156611648,24505445810,2899935
llama-1b,greedy,5,18.166580728,24523476526,2899979
llama-1b,temperature,1,.000756492,24551634413,400000
llama-1b,temperature,1,1.006471530,24572307822,4028536
llama-1b,temperature,1,2.012750093,24608094778,3699991
llama-1b,temperature,1,3.020201147,24655831839,3573799
llama-1b,temperature,1,4.027541753,24702132135,3403830
llama-1b,temperature,1,5.036039656,24732864967,2700042
llama-1b,temperature,1,6.046743584,24747958312,2499987
llama-1b,temperature,1,7.057548339,24762520103,2600006
llama-1b,temperature,1,8.068029770,24777160996,2599969
llama-1b,temperature,1,9.078462566,24791913278,2599985
llama-1b,temperature,1,10.088921635,24808698452,2900033
llama-1b,temperature,1,11.097569230,24826685527,2899973
llama-1b,temperature,1,12.107553368,24844541378,2899997
llama-1b,temperature,1,13.117097773,24862573192,2900016
llama-1b,temperature,1,14.126448304,24880462184,2900058
llama-1b,temperature,1,15.136119249,24898553691,2899975
llama-1b,temperature,1,16.145652077,24915849240,2799978
llama-1b,temperature,1,17.155523066,24933144911,2799993
llama-1b,temperature,1,18.165672586,24950444305,2799958
llama-1b,temperature,2,.000884073,24983158882,400000
llama-1b,temperature,2,1.006634749,25004684217,4334482
llama-1b,temperature,2,2.012660098,25040432661,3699982
llama-1b,temperature,2,3.020091986,25088140425,3600027
llama-1b,temperature,2,4.028025856,25134440050,3599971
llama-1b,temperature,2,5.036185068,25156505179,2599984
llama-1b,temperature,2,6.046846106,25171135634,2600014
llama-1b,temperature,2,7.057697577,25185815467,2600019
llama-1b,temperature,2,8.068125507,25200455628,2600011
llama-1b,temperature,2,9.078280544,25215185693,2599973
llama-1b,temperature,2,10.089044885,25230083421,2599989
llama-1b,temperature,2,11.099451632,25244963326,2599989
llama-1b,temperature,2,12.110038007,25261372525,2900048
llama-1b,temperature,2,13.120300478,25279433514,2899890
llama-1b,temperature,2,14.130029910,25297476314,2900034
llama-1b,temperature,2,15.139917265,25315437999,2899891
llama-1b,temperature,2,16.149323567,25333432338,2900045
llama-1b,temperature,2,17.159010583,25351487346,2900062
llama-1b,temperature,2,18.168693594,25368997555,2799968
llama-1b,temperature,3,.000953637,25403710540,4468577
llama-1b,temperature,3,1.010358798,25425784580,3978493
llama-1b,temperature,3,2.016531122,25469443648,3701311
llama-1b,temperature,3,3.023825198,25517329145,3402274
llama-1b,temperature,3,4.031049154,25563232592,3603746
llama-1b,temperature,3,5.038837510,25599190203,3899977
llama-1b,temperature,3,6.046903006,25622729144,2899971
llama-1b,temperature,3,7.056872850,25640538424,2800018
llama-1b,temperature,3,8.066730584,25658267871,2899968
llama-1b,temperature,3,9.076333781,25676147769,2899997
llama-1b,temperature,3,10.086076139,25693928974,2900022
llama-1b,temperature,3,11.095937800,25711791843,2800034
llama-1b,temperature,3,12.105941895,25729793933,2903264
llama-1b,temperature,3,13.115687374,25747645389,2899984
llama-1b,temperature,3,14.125221037,25765598651,2900007
llama-1b,temperature,3,15.134798581,25783606173,2900019
llama-1b,temperature,3,16.144486853,25801632433,2855161
llama-1b,temperature,3,17.154400293,25819554568,2900139
llama-1b,temperature,3,18.164182732,25837643633,2900080
llama-1b,temperature,4,.000738208,25869263059,4152534
llama-1b,temperature,4,1.006429548,25890884219,4437535
llama-1b,temperature,4,2.012538649,25934540663,3700072
llama-1b,temperature,4,3.019802723,25981313675,3699761
llama-1b,temperature,4,4.027168453,26027018758,3455786
llama-1b,temperature,4,5.035736803,26052628434,2601644
llama-1b,temperature,4,6.046135425,26067449380,2599964
llama-1b,temperature,4,7.056971927,26082113710,2599992
llama-1b,temperature,4,8.067570771,26096744410,2600007
llama-1b,temperature,4,9.078395008,26111408923,2600007
llama-1b,temperature,4,10.089353032,26126352244,2599991
llama-1b,temperature,4,11.099816644,26141148349,2600021
llama-1b,temperature,4,12.110593568,26156144343,2600020
llama-1b,temperature,4,13.121641322,26170974750,2599987
llama-1b,temperature,4,14.132215102,26185957744,2599988
llama-1b,temperature,4,15.143092237,26200831546,2600014
llama-1b,temperature,4,16.154227025,26215831324,2599945
llama-1b,temperature,4,17.164502119,26230886645,2599989
llama-1b,temperature,4,18.175335576,26245854990,2600006
llama-1b,temperature,5,.000750264,26276839408,400000
llama-1b,temperature,5,1.006526127,26298371030,400000
llama-1b,temperature,5,2.012811514,26334202603,3699985
llama-1b,temperature,5,3.020144476,26382249050,3639341
llama-1b,temperature,5,4.028243753,26428798553,3500019
llama-1b,temperature,5,5.036420951,26449724341,2599996
llama-1b,temperature,5,6.046846419,26464384582,2600005
llama-1b,temperature,5,7.057572160,26479074181,2599965
llama-1b,temperature,5,8.068270603,26493714402,2600022
llama-1b,temperature,5,9.079273384,26508447702,2600040
llama-1b,temperature,5,10.089877314,26523311189,2599969
llama-1b,temperature,5,11.100817761,26538252435,2600147
llama-1b,temperature,5,12.111737437,26553193071,2599996
llama-1b,temperature,5,13.122406487,26567995279,2598203
llama-1b,temperature,5,14.133315436,26582994996,2601883
llama-1b,temperature,5,15.144222562,26598007775,2600004
llama-1b,temperature,5,16.154724851,26612884202,2700004
llama-1b,temperature,5,17.165458521,26627998909,2599989
llama-1b,temperature,5,18.176136605,26642884858,2599974
llama-1b,temperature,5,19.185843943,26656973750,3000409
llama-1b,top_p,1,.000822265,26682594656,4536100
llama-1b,top_p,1,1.006438324,26703560422,4070655
llama-1b,top_p,1,2.012332661,26747002877,3699969
llama-1b,top_p,1,3.019516835,26795016365,3259080
llama-1b,top_p,1,4.026749412,26841252819,3600033
llama-1b,top_p,1,5.034709674,26870598752,2900064
llama-1b,top_p,1,6.044639958,26888498670,2899989
llama-1b,top_p,1,7.054819716,26906227262,2800026
llama-1b,top_p,1,8.064797835,26924106794,2901174
llama-1b,top_p,1,9.074627699,26941905576,2899989
llama-1b,top_p,1,10.084311295,26959728834,2799996
llama-1b,top_p,1,11.094507818,26977668180,2902286
llama-1b,top_p,1,12.104469249,26995597333,2899994
llama-1b,top_p,1,13.114152402,27013532102,2899987
llama-1b,top_p,1,14.123944142,27031475965,2900030
llama-1b,top_p,1,15.133354952,27049442777,2896207
llama-1b,top_p,1,16.143115715,27067524945,2899978
llama-1b,top_p,1,17.152805025,27085504452,2800017
llama-1b,top_p,1,18.162930925,27103590892,2899934
llama-1b,top_p,2,.000684582,27137167406,4196383
llama-1b,top_p,2,1.006375121,27158354302,3987944
llama-1b,top_p,2,2.012439568,27194336205,3700002
llama-1b,top_p,2,3.020128310,27241968285,3599987
llama-1b,top_p,2,4.027969433,27288384365,3593556
llama-1b,top_p,2,5.036336856,27315753801,2599997
llama-1b,top_p,2,6.047120656,27330563395,2600009
llama-1b,top_p,2,7.058567719,27345220950,2599980
llama-1b,top_p,2,8.069155376,27359811062,2600014
llama-1b,top_p,2,9.080394976,27374572804,2600430
llama-1b,top_p,2,10.090634830,27389472302,2599960
llama-1b,top_p,2,11.101121067,27404242711,2700007
llama-1b,top_p,2,12.111366897,27419233822,2597747
llama-1b,top_p,2,13.121961578,27434044758,2600103
llama-1b,top_p,2,14.132703785,27449118633,2599251
llama-1b,top_p,2,15.143502201,27463956852,2600001
llama-1b,top_p,2,16.154161522,27478979336,2599986
llama-1b,top_p,2,17.164994088,27493986683,2599990
llama-1b,top_p,2,18.175630345,27509035167,2600002
llama-1b,top_p,2,19.186135485,27523355199,2900031
llama-1b,top_p,3,.000818988,27549696928,4440264
llama-1b,top_p,3,1.006620388,27572488984,4524902
llama-1b,top_p,3,2.012603548,27616090740,3700003
llama-1b,top_p,3,3.019948257,27664140300,3800018
llama-1b,top_p,3,4.027413192,27709941818,3200034
llama-1b,top_p,3,5.035946845,27726104985,2600015
llama-1b,top_p,3,6.046614061,27740731534,2599966
llama-1b,top_p,3,7.057327513,27755413443,2599981
llama-1b,top_p,3,8.067867206,27770022475,2700003
llama-1b,top_p,3,9.078415943,27784847999,2599968
llama-1b,top_p,3,10.089445002,27799729247,2599995
llama-1b,top_p,3,11.099946884,27816156085,2899979
