model,strategy,run,elapsed_s,energy_uj,cpu_freq_khz
llama-1b,greedy,1,.000848132,18458660509,4501851
llama-1b,greedy,1,1.006095840,18481851429,4053543
llama-1b,greedy,1,2.011808892,18525491087,3699982
llama-1b,greedy,1,3.018972609,18574031368,3799994
llama-1b,greedy,1,4.026049187,18621436704,3600002
llama-1b,greedy,1,5.033649031,18657233304,3903638
llama-1b,greedy,1,6.041460050,18690707156,3900057
llama-1b,greedy,1,7.049253264,18717501460,2899951
llama-1b,greedy,1,8.058151490,18735271068,2899937
llama-1b,greedy,1,9.067539852,18753058010,2900164
llama-1b,greedy,1,10.076755756,18770894146,2899975
llama-1b,greedy,1,11.086284858,18788745723,2800016
llama-1b,greedy,1,12.095733303,18806547069,2899963
llama-1b,greedy,1,13.104960727,18824436672,2899969
llama-1b,greedy,1,14.114573139,18842328228,2900009
llama-1b,greedy,1,15.123991642,18860255306,2900043
llama-1b,greedy,1,16.133347827,18878301524,2800006
llama-1b,greedy,1,17.142976725,18896213771,2899954
llama-1b,greedy,1,18.151431806,18913348432,400000
