model,run,elapsed_s,energy_uj,cpu_freq_khz
llama-1b,1,.000730896,19373452234,4553860
llama-1b,1,1.006111617,19397481531,4396456
llama-1b,1,2.012481609,19433280756,3899996
llama-1b,1,3.019994323,19466751739,3839252
llama-1b,1,4.027370642,19499583747,3900010
llama-1b,1,5.034812428,19532051743,3900012
llama-1b,1,6.042365962,19564735924,3900008
llama-1b,1,7.049830370,19597335145,3900009
llama-1b,1,8.057335048,19630377114,3889978
llama-1b,1,9.065067271,19663254166,3842175
llama-1b,1,10.072634155,19696215873,3899985
llama-1b,1,11.080380340,19729356536,3899969
llama-1b,1,12.087765051,19762631231,3899869
llama-1b,1,13.095235039,19795477277,3803459
llama-1b,1,14.102821000,19828387776,3869221
llama-1b,1,15.110300768,19861207516,3899963
llama-1b,1,16.118252604,19890033798,2999825
llama-1b,1,17.127590589,19908062865,2800002
llama-1b,1,18.136768457,19925823867,2800014
llama-1b,1,19.146971698,19943552643,2899954
llama-1b,1,20.156674718,19961487045,2799943
llama-1b,1,21.165375946,19979313415,2899953
llama-1b,1,22.174774762,19997196487,2800007
llama-1b,1,23.184092202,20015056671,2800906
llama-1b,1,24.192691568,20032636216,3000013
llama-1b,2,.000818522,20057708600,4543367
llama-1b,2,1.006547256,20079108997,4233711
llama-1b,2,2.013124707,20116130265,3899971
llama-1b,2,3.020983556,20148933709,3857423
llama-1b,2,4.028636584,20181801728,3899949
llama-1b,2,5.036419792,20214802192,3819051
llama-1b,2,6.044104587,20247924239,3876941
llama-1b,2,7.051954508,20281059103,3800588
llama-1b,2,8.059808534,20313906309,3900008
llama-1b,2,9.068015255,20335409916,2899950
llama-1b,2,10.077113729,20353240376,2899957
llama-1b,2,11.086638432,20371039097,2899997
llama-1b,2,12.096256230,20388870777,2900001
llama-1b,2,13.106104378,20406624211,2905945
llama-1b,2,14.115574877,20424421590,2900102
llama-1b,2,15.126177077,20442395848,2900034
llama-1b,2,16.136149235,20460267018,2901691
llama-1b,2,17.145576612,20478321720,2900069
llama-1b,2,18.154987777,20496396808,2899901
llama-1b,2,19.164967699,20514334812,2900147
llama-1b,2,20.174854393,20532276721,2899973
llama-1b,2,21.183854612,20550268985,2900029
llama-1b,2,22.193053945,20568399188,2900012
llama-1b,2,23.202474768,20586396273,2899954
llama-1b,3,.000733299,20621206425,4187278
llama-1b,3,1.006331979,20642267040,3944377
llama-1b,3,2.012863142,20678063152,3899998
llama-1b,3,3.021211060,20711101459,3959763
llama-1b,3,4.028311281,20743986323,3899988
llama-1b,3,5.035559184,20776937106,3899953
llama-1b,3,6.043286177,20809820139,3899946
llama-1b,3,7.050979948,20842613573,3900004
llama-1b,3,8.059297508,20875084987,3299930
llama-1b,3,9.071059373,20893948708,2901202
llama-1b,3,10.080921042,20911775384,2896511
llama-1b,3,11.091989354,20929611703,2899968
llama-1b,3,12.101834810,20947405786,2900024
llama-1b,3,13.111691088,20965129800,2906022
llama-1b,3,14.121435281,20982967584,2899954
llama-1b,3,15.131489565,21000801462,2900020
llama-1b,3,16.140954988,21018780420,2900008
llama-1b,3,17.150342703,21036686014,2900001
llama-1b,3,18.160282761,21054765374,2900016
llama-1b,3,19.169879560,21072751961,2899930
llama-1b,3,20.179181928,21090765892,2900029
llama-1b,3,21.188804829,21108752907,2900008
llama-1b,3,22.198344608,21126793327,2900322
llama-1b,4,.000741986,21158029880,4652577
llama-1b,4,1.006317897,21179548624,400000
llama-1b,4,2.013202537,21215685738,3899966
llama-1b,4,3.021516705,21248540635,3957543
llama-1b,4,4.028767458,21281445946,3833629
llama-1b,4,5.035709463,21314382019,3899985
llama-1b,4,6.043295071,21347266517,3899982
llama-1b,4,7.051347044,21380067215,3559745
llama-1b,4,8.059551339,21412783501,3500027
llama-1b,4,9.069525716,21432099796,2900009
llama-1b,4,10.079473865,21449914204,2899954
llama-1b,4,11.089634409,21467706578,2899967
llama-1b,4,12.099451323,21485482655,2900049
llama-1b,4,13.108822916,21503304265,2900010
llama-1b,4,14.118482775,21521188680,2900005
llama-1b,4,15.128385720,21539054723,2899994
llama-1b,4,16.137729342,21556997609,2899996
llama-1b,4,17.147276632,21574927922,2899982
llama-1b,4,18.157004259,21593036152,2902181
llama-1b,4,19.166090691,21611001804,2899926
llama-1b,4,20.175629237,21628963489,2895496
llama-1b,4,21.185084757,21646954410,2900060
llama-1b,4,22.194813128,21665029925,2899619
llama-1b,5,.000731103,21696490904,4174124
llama-1b,5,1.006301620,21718180180,4011118
llama-1b,5,2.012582468,21754051731,3899977
llama-1b,5,3.020958319,21786945812,3633406
llama-1b,5,4.028374359,21819945422,3816230
llama-1b,5,5.036516136,21853073389,3791905
llama-1b,5,6.044665906,21886117372,3834229
llama-1b,5,7.053419140,21918984658,3769185
llama-1b,5,8.061706693,21951700029,3499980
llama-1b,5,9.069998822,21970944303,2900026
llama-1b,5,10.079774468,21988760236,2899978
llama-1b,5,11.089959190,22006535460,2899991
llama-1b,5,12.099692574,22024365797,2900008
llama-1b,5,13.108899622,22042204314,2900018
llama-1b,5,14.118033927,22059998885,2899982
llama-1b,5,15.127455152,22077867247,2899968
llama-1b,5,16.137204163,22095853895,2900027
llama-1b,5,17.146234391,22113735319,2900007
llama-1b,5,18.155585142,22131808698,2899289
llama-1b,5,19.165307931,22149792173,2899844
llama-1b,5,20.175101112,22167776685,2900015
llama-1b,5,21.184740273,22185755704,2899998
llama-1b,5,22.193648913,22203798504,2900009
llama-1b,5,23.203231683,22221850277,2899954
llama-1b,5,24.212955236,22239940746,2899994
