model,run,elapsed_s,energy_uj,cpu_freq_khz
llama-1b,1,.000703869,17770842384,4513053
llama-1b,1,1.012704378,17794873512,400000
llama-1b,1,2.018478481,17831568975,4000030
llama-1b,1,3.025844020,17864949810,3999286
llama-1b,1,4.033733902,17898040850,4000010
llama-1b,1,5.041225978,17930990107,3999985
llama-1b,1,6.049008657,17964074006,4000011
llama-1b,1,7.056479336,17996476450,3999942
llama-1b,1,8.064587202,18029926438,3998538
llama-1b,1,9.072128066,18063344626,3848030
llama-1b,1,10.079720018,18096598509,4000001
llama-1b,1,11.087429136,18129886570,3901509
llama-1b,1,12.094957632,18162534863,3805776
llama-1b,1,13.102648750,18195066091,3897005
llama-1b,1,14.110312942,18227910672,3900009
llama-1b,1,15.117753856,18260676580,3883550
llama-1b,1,16.125181626,18293741436,3900009
llama-1b,1,17.132611166,18326848346,3899993
llama-1b,1,18.140185407,18360003840,3900008
llama-1b,1,19.147886002,18393289827,3899998
llama-1b,1,20.155215629,18425314403,4685091
